datetime_local,location_name,latitude,longitude,value,parameter_name,unit_of_measure
2023-01-01 06:00:00,Dandenong,-37.98576,145.1987,12.214,NO2,ppb
2023-01-01 06:00:00,Alphington,-37.7784081,145.0306,7.476,NO2,ppb
2023-01-01 06:00:00,Altona North,-37.84455,144.8629,9.304,NO2,ppb
2023-01-01 06:00:00,Footscray,-37.803709,144.869342,8.838,NO2,ppb
2023-01-01 06:00:00,Geelong South,-38.17356,144.3703,1.84,NO2,ppb
2023-01-01 12:00:00,Dandenong,-37.98576,145.1987,2.764,NO2,ppb
2023-01-01 12:00:00,Alphington,-37.7784081,145.0306,2.199,NO2,ppb
2023-01-01 12:00:00,Altona North,-37.84455,144.8629,2.307,NO2,ppb
2023-01-01 12:00:00,Footscray,-37.803709,144.869342,2.352,NO2,ppb
2023-01-01 12:00:00,Geelong South,-38.17356,144.3703,4.108,NO2,ppb
2023-01-01 18:00:00,Dandenong,-37.98576,145.1987,3.223,NO2,ppb
2023-01-01 18:00:00,Alphington,-37.7784081,145.0306,2.941,NO2,ppb
2023-01-01 18:00:00,Altona North,-37.84455,144.8629,1.894,NO2,ppb
2023-01-01 18:00:00,Footscray,-37.803709,144.869342,1.969,NO2,ppb
2023-01-01 18:00:00,Geelong South,-38.17356,144.3703,2.374,NO2,ppb
2023-01-15 06:00:00,Dandenong,-37.98576,145.1987,2.635,NO2,ppb
2023-01-15 06:00:00,Alphington,-37.7784081,145.0306,1.232,NO2,ppb
2023-01-15 06:00:00,Altona North,-37.84455,144.8629,0.871,NO2,ppb
2023-01-15 06:00:00,Footscray,-37.803709,144.869342,0.61,NO2,ppb
2023-01-15 06:00:00,Geelong South,-38.17356,144.3703,0.633,NO2,ppb
2023-01-15 12:00:00,Dandenong,-37.98576,145.1987,2.593,NO2,ppb
2023-01-15 12:00:00,Alphington,-37.7784081,145.0306,1.449,NO2,ppb
2023-01-15 12:00:00,Altona North,-37.84455,144.8629,0.837,NO2,ppb
2023-01-15 12:00:00,Footscray,-37.803709,144.869342,1.089,NO2,ppb
2023-01-15 12:00:00,Geelong South,-38.17356,144.3703,0.821,NO2,ppb
2023-01-15 18:00:00,Dandenong,-37.98576,145.1987,1.838,NO2,ppb
2023-01-15 18:00:00,Alphington,-37.7784081,145.0306,1.484,NO2,ppb
2023-01-15 18:00:00,Altona North,-37.84455,144.8629,0.603,NO2,ppb
2023-01-15 18:00:00,Footscray,-37.803709,144.869342,1.136,NO2,ppb
2023-01-15 18:00:00,Geelong South,-38.17356,144.3703,0.607,NO2,ppb
2023-01-28 06:00:00,Dandenong,-37.98576,145.1987,5.288,NO2,ppb
2023-01-28 06:00:00,Alphington,-37.7784081,145.0306,6.589,NO2,ppb
2023-01-28 06:00:00,Altona North,-37.84455,144.8629,20.522,NO2,ppb
2023-01-28 06:00:00,Footscray,-37.803709,144.869342,15.425,NO2,ppb
2023-01-28 06:00:00,Geelong South,-38.17356,144.3703,12.119,NO2,ppb
2023-01-28 12:00:00,Dandenong,-37.98576,145.1987,5.149,NO2,ppb
2023-01-28 12:00:00,Alphington,-37.7784081,145.0306,3.389,NO2,ppb
2023-01-28 12:00:00,Altona North,-37.84455,144.8629,4.151,NO2,ppb
2023-01-28 12:00:00,Footscray,-37.803709,144.869342,3.696,NO2,ppb
2023-01-28 12:00:00,Geelong South,-38.17356,144.3703,3.651,NO2,ppb
2023-01-28 18:00:00,Dandenong,-37.98576,145.1987,8.015,NO2,ppb
