datetime_local,location_name,latitude,longitude,value,parameter_name,unit_of_measure
2023-01-01 06:00:00,Altona North,-37.84455,144.8629,17.161,DBT,deg.C
2023-01-01 06:00:00,Footscray,-37.803709,144.869342,18.669,DBT,deg.C
2023-01-01 06:00:00,Geelong South,-38.17356,144.3703,17.902,DBT,deg.C
2023-01-01 06:00:00,Dandenong,-37.98576,145.1987,18.471,DBT,deg.C
2023-01-01 06:00:00,Mooroolbark,-37.7749672,145.3285,18.598,DBT,deg.C
2023-01-01 06:00:00,Alphington,-37.7784081,145.0306,17.915,DBT,deg.C
2023-01-01 12:00:00,Altona North,-37.84455,144.8629,35.212,DBT,deg.C
2023-01-01 12:00:00,Footscray,-37.803709,144.869342,33.601,DBT,deg.C
2023-01-01 12:00:00,Brooklyn,-37.8220978,144.8471,32.992,DBT,deg.C
2023-01-01 12:00:00,Geelong South,-38.17356,144.3703,31.266,DBT,deg.C
2023-01-01 12:00:00,Dandenong,-37.98576,145.1987,33.296,DBT,deg.C
2023-01-01 12:00:00,Point Cook,-37.9263153,144.7567,34.254,DBT,deg.C
2023-01-01 12:00:00,Mooroolbark,-37.7749672,145.3285,32.738,DBT,deg.C
2023-01-01 12:00:00,Brooklyn,-37.8220978,144.8471,32.992,DBT,deg.C
2023-01-01 12:00:00,Alphington,-37.7784081,145.0306,35.393,DBT,deg.C
2023-01-01 18:00:00,Altona North,-37.84455,144.8629,36.368,DBT,deg.C
2023-01-01 18:00:00,Footscray,-37.803709,144.869342,36.214,DBT,deg.C
2023-01-01 18:00:00,Brooklyn,-37.8220978,144.8471,35.204,DBT,deg.C
2023-01-01 18:00:00,Geelong South,-38.17356,144.3703,34.95,DBT,deg.C
2023-01-01 18:00:00,Dandenong,-37.98576,145.1987,35.96,DBT,deg.C
2023-01-01 18:00:00,Point Cook,-37.9263153,144.7567,32.416,DBT,deg.C
2023-01-01 18:00:00,Mooroolbark,-37.7749672,145.3285,34.749,DBT,deg.C
2023-01-01 18:00:00,Brooklyn,-37.8220978,144.8471,35.204,DBT,deg.C
2023-01-01 18:00:00,Alphington,-37.7784081,145.0306,37.936,DBT,deg.C
2023-01-15 06:00:00,Altona North,-37.84455,144.8629,19.487,DBT,deg.C
2023-01-15 06:00:00,Footscray,-37.803709,144.869342,19.122,DBT,deg.C
2023-01-15 06:00:00,Brooklyn,-37.8220978,144.8471,18.254,DBT,deg.C
2023-01-15 06:00:00,Geelong South,-38.17356,144.3703,17.418,DBT,deg.C
2023-01-15 06:00:00,Dandenong,-37.98576,145.1987,19.255,DBT,deg.C
2023-01-15 06:00:00,Point Cook,-37.9263153,144.7567,19.144,DBT,deg.C
2023-01-15 06:00:00,Mooroolbark,-37.7749672,145.3285,18.142,DBT,deg.C
2023-01-15 06:00:00,Brooklyn,-37.8220978,144.8471,18.254,DBT,deg.C
2023-01-15 06:00:00,Alphington,-37.7784081,145.0306,18.565,DBT,deg.C
2023-01-15 12:00:00,Altona North,-37.84455,144.8629,21.751,DBT,deg.C
2023-01-15 12:00:00,Footscray,-37.803709,144.869342,19.27,DBT,deg.C
