datetime_local,location_name,latitude,longitude,value,parameter_name,unit_of_measure
2023-01-01 00:00:00,Alphington,-37.7784081,145.0306,9.182,NO2,ppb
2023-01-01 00:00:00,Alphington,-37.7784081,145.0306,12.9,O3,ppb
2023-01-01 00:00:00,Alphington,-37.7784081,145.0306,8.163,PM10,ug/m3
2023-01-01 00:00:00,Alphington,-37.7784081,145.0306,0.584,SO2,ppb
2023-01-01 00:00:00,Alphington,-37.7784081,145.0306,20.898,DBT,deg.C
2023-01-01 00:00:00,Alphington,-37.7784081,145.0306,34.258,BSP,1/Mm
2023-01-01 01:00:00,Alphington,-37.7784081,145.0306,12.581,PM10,ug/m3
2023-01-01 01:00:00,Alphington,-37.7784081,145.0306,19.721,DBT,deg.C
2023-01-01 02:00:00,Alphington,-37.7784081,145.0306,6.197,NO2,ppb
2023-01-01 02:00:00,Alphington,-37.7784081,145.0306,11.137,O3,ppb
2023-01-01 02:00:00,Alphington,-37.7784081,145.0306,16.509,PM10,ug/m3
2023-01-01 02:00:00,Alphington,-37.7784081,145.0306,0.761,SO2,ppb
2023-01-01 02:00:00,Alphington,-37.7784081,145.0306,19.177,DBT,deg.C
2023-01-01 02:00:00,Alphington,-37.7784081,145.0306,59.945,BSP,1/Mm
2023-01-01 03:00:00,Alphington,-37.7784081,145.0306,6.702,NO2,ppb
2023-01-01 03:00:00,Alphington,-37.7784081,145.0306,11.211,O3,ppb
2023-01-01 03:00:00,Alphington,-37.7784081,145.0306,12.642,PM10,ug/m3
2023-01-01 03:00:00,Alphington,-37.7784081,145.0306,0.63,SO2,ppb
2023-01-01 03:00:00,Alphington,-37.7784081,145.0306,18.51,DBT,deg.C
2023-01-01 03:00:00,Alphington,-37.7784081,145.0306,52.003,BSP,1/Mm
2023-01-01 04:00:00,Alphington,-37.7784081,145.0306,7.399,NO2,ppb
2023-01-01 04:00:00,Alphington,-37.7784081,145.0306,7.446,O3,ppb
2023-01-01 04:00:00,Alphington,-37.7784081,145.0306,13.71,PM10,ug/m3
2023-01-01 04:00:00,Alphington,-37.7784081,145.0306,0.636,SO2,ppb
2023-01-01 04:00:00,Alphington,-37.7784081,145.0306,18.068,DBT,deg.C
2023-01-01 04:00:00,Alphington,-37.7784081,145.0306,56.553,BSP,1/Mm
2023-01-01 05:00:00,Alphington,-37.7784081,145.0306,7.681,NO2,ppb
2023-01-01 05:00:00,Alphington,-37.7784081,145.0306,5.166,O3,ppb
2023-01-01 05:00:00,Alphington,-37.7784081,145.0306,19.774,PM10,ug/m3
