datetime_local,location_name,latitude,longitude,value,parameter_name,unit_of_measure
2023-01-01 00:00:00,Altona North,-37.84455,144.8629,19.305,DBT,deg.C
2023-01-01 00:00:00,Altona North,-37.84455,144.8629,5.199,NO2,ppb
2023-01-01 00:00:00,Altona North,-37.84455,144.8629,-1.234,SO2,ppb
2023-01-01 01:00:00,Altona North,-37.84455,144.8629,18.73,DBT,deg.C
2023-01-01 02:00:00,Altona North,-37.84455,144.8629,18.116,DBT,deg.C
2023-01-01 02:00:00,Altona North,-37.84455,144.8629,5.264,NO2,ppb
2023-01-01 02:00:00,Altona North,-37.84455,144.8629,-1.729,SO2,ppb
2023-01-01 03:00:00,Altona North,-37.84455,144.8629,17.58,DBT,deg.C
2023-01-01 03:00:00,Altona North,-37.84455,144.8629,6.617,NO2,ppb
2023-01-01 03:00:00,Altona North,-37.84455,144.8629,-1.718,SO2,ppb
2023-01-01 04:00:00,Altona North,-37.84455,144.8629,17.006,DBT,deg.C
2023-01-01 04:00:00,Altona North,-37.84455,144.8629,8.359,NO2,ppb
2023-01-01 04:00:00,Altona North,-37.84455,144.8629,-1.726,SO2,ppb
2023-01-01 05:00:00,Altona North,-37.84455,144.8629,16.576,DBT,deg.C
2023-01-01 05:00:00,Altona North,-37.84455,144.8629,9.112,NO2,ppb
2023-01-01 05:00:00,Altona North,-37.84455,144.8629,-1.697,SO2,ppb
2023-01-01 06:00:00,Altona North,-37.84455,144.8629,17.161,DBT,deg.C
2023-01-01 06:00:00,Altona North,-37.84455,144.8629,9.304,NO2,ppb
2023-01-01 06:00:00,Altona North,-37.84455,144.8629,-2.007,SO2,ppb
2023-01-01 07:00:00,Altona North,-37.84455,144.8629,22.401,DBT,deg.C
2023-01-01 07:00:00,Altona North,-37.84455,144.8629,15.511,NO2,ppb
2023-01-01 07:00:00,Altona North,-37.84455,144.8629,-2.176,SO2,ppb
2023-01-01 08:00:00,Altona North,-37.84455,144.8629,25.238,DBT,deg.C
2023-01-01 08:00:00,Altona North,-37.84455,144.8629,10.56,NO2,ppb
2023-01-01 08:00:00,Altona North,-37.84455,144.8629,-1.686,SO2,ppb
2023-01-01 09:00:00,Altona North,-37.84455,144.8629,29.187,DBT,deg.C
2023-01-01 09:00:00,Altona North,-37.84455,144.8629,3.343,NO2,ppb
2023-01-01 09:00:00,Altona North,-37.84455,144.8629,-1.864,SO2,ppb
2023-01-01 10:00:00,Altona North,-37.84455,144.8629,31.614,DBT,deg.C
2023-01-01 10:00:00,Altona North,-37.84455,144.8629,2.031,NO2,ppb
2023-01-01 10:00:00,Altona North,-37.84455,144.8629,-2.031,SO2,ppb
2023-01-01 11:00:00,Altona North,-37.84455,144.8629,33.535,DBT,deg.C
2023-01-01 11:00:00,Altona North,-37.84455,144.8629,2.083,NO2,ppb
2023-01-01 11:00:00,Altona North,-37.84455,144.8629,-1.822,SO2,ppb
2023-01-01 12:00:00,Altona North,-37.84455,144.8629,35.212,DBT,deg.C
2023-01-01 12:00:00,Altona North,-37.84455,144.8629,2.307,NO2,ppb
2023-01-01 12:00:00,Altona North,-37.84455,144.8629,-2.022,SO2,ppb
2023-01-01 13:00:00,Altona North,-37.84455,144.8629,35.696,DBT,deg.C
2023-01-01 13:00:00,Altona North,-37.84455,144.8629,1.996,NO2,ppb
2023-01-01 13:00:00,Altona North,-37.84455,144.8629,-2.094,SO2,ppb
2023-01-01 14:00:00,Altona North,-37.84455,144.8629,35.467,DBT,deg.C
2023-01-01 14:00:00,Altona North,-37.84455,144.8629,1.794,NO2,ppb
2023-01-01 14:00:00,Altona North,-37.84455,144.8629,-1.75,SO2,ppb
2023-01-01 15:00:00,Altona North,-37.84455,144.8629,36.592,DBT,deg.C
2023-01-01 15:00:00,Altona North,-37.84455,144.8629,1.725,NO2,ppb
2023-01-01 15:00:00,Altona North,-37.84455,144.8629,-1.978,SO2,ppb
2023-01-01 16:00:00,Altona North,-37.84455,144.8629,36.967,DBT,deg.C
2023-01-01 16:00:00,Altona North,-37.84455,144.8629,1.609,NO2,ppb
2023-01-01 16:00:00,Altona North,-37.84455,144.8629,-1.977,SO2,ppb
2023-01-01 17:00:00,Altona North,-37.84455,144.8629,37.654,DBT,deg.C
2023-01-01 17:00:00,Altona North,-37.84455,144.8629,1.607,NO2,ppb
2023-01-01 17:00:00,Altona North,-37.84455,144.8629,-2.219,SO2,ppb
2023-01-01 18:00:00,Altona North,-37.84455,144.8629,36.368,DBT,deg.C
2023-01-01 18:00:00,Altona North,-37.84455,144.8629,1.894,NO2,ppb
2023-01-01 18:00:00,Altona North,-37.84455,144.8629,-1.943,SO2,ppb
2023-01-01 19:00:00,Altona North,-37.84455,144.8629,34.793,DBT,deg.C
2023-01-01 19:00:00,Altona North,-37.84455,144.8629,2.505,NO2,ppb
2023-01-01 19:00:00,Altona North,-37.84455,144.8629,-2.141,SO2,ppb
2023-01-01 20:00:00,Altona North,-37.84455,144.8629,33.572,DBT,deg.C
2023-01-01 20:00:00,Altona North,-37.84455,144.8629,3.924,NO2,ppb
2023-01-01 20:00:00,Altona North,-37.84455,144.8629,-2.152,SO2,ppb
2023-01-01 21:00:00,Altona North,-37.84455,144.8629,31.618,DBT,deg.C
2023-01-01 21:00:00,Altona North,-37.84455,144.8629,8.083,NO2,ppb
2023-01-01 21:00:00,Altona North,-37.84455,144.8629,-1.788,SO2,ppb
2023-01-01 22:00:00,Altona North,-37.84455,144.8629,31.224,DBT,deg.C
2023-01-01 22:00:00,Altona North,-37.84455,144.8629,6.133,NO2,ppb
2023-01-01 22:00:00,Altona North,-37.84455,144.8629,-1.872,SO2,ppb
2023-01-01 23:00:00,Altona North,-37.84455,144.8629,29.955,DBT,deg.C
2023-01-01 23:00:00,Altona North,-37.84455,144.8629,6.478,NO2,ppb
2023-01-01 23:00:00,Altona North,-37.84455,144.8629,-0.292,SO2,ppb
2023-01-02 00:00:00,Altona North,-37.84455,144.8629,25.009,DBT,deg.C
2023-01-02 00:00:00,Altona North,-37.84455,144.8629,4.103,NO2,ppb
2023-01-02 00:00:00,Altona North,-37.84455,144.8629,0.916,SO2,ppb
2023-01-02 01:00:00,Altona North,-37.84455,144.8629,23.78,DBT,deg.C
