datetime_local,location_name,latitude,longitude,value,parameter_name,unit_of_measure
2023-01-01 20:00:00,Box Hill,-37.8287277,145.1324,4.808,PM2.5,ug/m3
2023-01-02 20:00:00,Box Hill,-37.8287277,145.1324,5.482,PM2.5,ug/m3
2023-01-03 20:00:00,Box Hill,-37.8287277,145.1324,1.583,PM2.5,ug/m3
2023-01-04 20:00:00,Box Hill,-37.8287277,145.1324,2.171,PM2.5,ug/m3
2023-01-05 20:00:00,Box Hill,-37.8287277,145.1324,4.691,PM2.5,ug/m3
2023-01-06 20:00:00,Box Hill,-37.8287277,145.1324,5.394,PM2.5,ug/m3
2023-01-07 20:00:00,Box Hill,-37.8287277,145.1324,2.436,PM2.5,ug/m3
2023-01-08 20:00:00,Box Hill,-37.8287277,145.1324,1.239,PM2.5,ug/m3
2023-01-09 20:00:00,Box Hill,-37.8287277,145.1324,11.143,PM2.5,ug/m3
2023-01-10 20:00:00,Box Hill,-37.8287277,145.1324,10.93,PM2.5,ug/m3
2023-01-11 20:00:00,Box Hill,-37.8287277,145.1324,9.859,PM2.5,ug/m3
2023-01-12 20:00:00,Box Hill,-37.8287277,145.1324,12.263,PM2.5,ug/m3
2023-01-13 20:00:00,Box Hill,-37.8287277,145.1324,8.384,PM2.5,ug/m3
2023-01-14 20:00:00,Box Hill,-37.8287277,145.1324,8.549,PM2.5,ug/m3
2023-01-15 20:00:00,Box Hill,-37.8287277,145.1324,8.166,PM2.5,ug/m3
2023-01-16 20:00:00,Box Hill,-37.8287277,145.1324,15.829,PM2.5,ug/m3
2023-01-17 20:00:00,Box Hill,-37.8287277,145.1324,10.194,PM2.5,ug/m3
2023-01-18 20:00:00,Box Hill,-37.8287277,145.1324,7.069,PM2.5,ug/m3
2023-01-19 20:00:00,Box Hill,-37.8287277,145.1324,1.007,PM2.5,ug/m3
2023-01-20 20:00:00,Box Hill,-37.8287277,145.1324,12.012,PM2.5,ug/m3
2023-01-21 20:00:00,Box Hill,-37.8287277,145.1324,5.037,PM2.5,ug/m3
2023-01-22 20:00:00,Box Hill,-37.8287277,145.1324,6.934,PM2.5,ug/m3
2023-01-23 20:00:00,Box Hill,-37.8287277,145.1324,13.401,PM2.5,ug/m3
2023-01-24 20:00:00,Box Hill,-37.8287277,145.1324,-1.558,PM2.5,ug/m3
2023-01-25 20:00:00,Box Hill,-37.8287277,145.1324,16.387,PM2.5,ug/m3
2023-01-26 20:00:00,Box Hill,-37.8287277,145.1324,9.387,PM2.5,ug/m3
2023-01-27 20:00:00,Box Hill,-37.8287277,145.1324,12.21,PM2.5,ug/m3
2023-01-28 20:00:00,Box Hill,-37.8287277,145.1324,12.172,PM2.5,ug/m3
2023-01-29 20:00:00,Box Hill,-37.8287277,145.1324,2.063,PM2.5,ug/m3
2023-01-30 20:00:00,Box Hill,-37.8287277,145.1324,3.698,PM2.5,ug/m3
2023-01-31 20:00:00,Box Hill,-37.8287277,145.1324,6.246,PM2.5,ug/m3
2023-02-01 20:00:00,Box Hill,-37.8287277,145.1324,6.074,PM2.5,ug/m3
2023-02-02 20:00:00,Box Hill,-37.8287277,145.1324,1.808,PM2.5,ug/m3
2023-02-03 20:00:00,Box Hill,-37.8287277,145.1324,5.03,PM2.5,ug/m3
2023-02-04 20:00:00,Box Hill,-37.8287277,145.1324,11.352,PM2.5,ug/m3
2023-02-05 20:00:00,Box Hill,-37.8287277,145.1324,1.014,PM2.5,ug/m3
2023-02-06 20:00:00,Box Hill,-37.8287277,145.1324,2.951,PM2.5,ug/m3
2023-02-07 20:00:00,Box Hill,-37.8287277,145.1324,9.036,PM2.5,ug/m3
2023-02-08 20:00:00,Box Hill,-37.8287277,145.1324,11.369,PM2.5,ug/m3
2023-02-09 20:00:00,Box Hill,-37.8287277,145.1324,6.804,PM2.5,ug/m3
2023-02-10 20:00:00,Box Hill,-37.8287277,145.1324,11.709,PM2.5,ug/m3
2023-02-11 20:00:00,Box Hill,-37.8287277,145.1324,15.529,PM2.5,ug/m3
2023-02-12 20:00:00,Box Hill,-37.8287277,145.1324,6.511,PM2.5,ug/m3
2023-02-13 20:00:00,Box Hill,-37.8287277,145.1324,5.719,PM2.5,ug/m3
2023-02-14 20:00:00,Box Hill,-37.8287277,145.1324,13.13,PM2.5,ug/m3
2023-02-15 20:00:00,Box Hill,-37.8287277,145.1324,12.228,PM2.5,ug/m3
2023-02-16 20:00:00,Box Hill,-37.8287277,145.1324,6.166,PM2.5,ug/m3
2023-02-17 20:00:00,Box Hill,-37.8287277,145.1324,16.473,PM2.5,ug/m3
2023-02-18 20:00:00,Box Hill,-37.8287277,145.1324,6.039,PM2.5,ug/m3
2023-02-19 20:00:00,Box Hill,-37.8287277,145.1324,7.733,PM2.5,ug/m3
2023-02-20 20:00:00,Box Hill,-37.8287277,145.1324,10.031,PM2.5,ug/m3
2023-02-21 20:00:00,Box Hill,-37.8287277,145.1324,3.015,PM2.5,ug/m3
2023-02-22 20:00:00,Box Hill,-37.8287277,145.1324,3.808,PM2.5,ug/m3
2023-02-23 20:00:00,Box Hill,-37.8287277,145.1324,11.514,PM2.5,ug/m3
2023-02-24 20:00:00,Box Hill,-37.8287277,145.1324,5.561,PM2.5,ug/m3
2023-02-25 20:00:00,Box Hill,-37.8287277,145.1324,2.686,PM2.5,ug/m3
2023-02-26 20:00:00,Box Hill,-37.8287277,145.1324,3.621,PM2.5,ug/m3
2023-02-27 20:00:00,Box Hill,-37.8287277,145.1324,7.084,PM2.5,ug/m3
2023-02-28 20:00:00,Box Hill,-37.8287277,145.1324,6.399,PM2.5,ug/m3
2023-03-01 20:00:00,Box Hill,-37.8287277,145.1324,3.946,PM2.5,ug/m3
2023-03-02 20:00:00,Box Hill,-37.8287277,145.1324,3.526,PM2.5,ug/m3
2023-03-03 20:00:00,Box Hill,-37.8287277,145.1324,8.838,PM2.5,ug/m3
2023-03-04 20:00:00,Box Hill,-37.8287277,145.1324,9.743,PM2.5,ug/m3
2023-03-05 20:00:00,Box Hill,-37.8287277,145.1324,8.566,PM2.5,ug/m3
2023-03-06 20:00:00,Box Hill,-37.8287277,145.1324,0.82,PM2.5,ug/m3
2023-03-07 20:00:00,Box Hill,-37.8287277,145.1324,3.723,PM2.5,ug/m3
2023-03-08 20:00:00,Box Hill,-37.8287277,145.1324,-0.866,PM2.5,ug/m3
2023-03-09 20:00:00,Box Hill,-37.8287277,145.1324,-2.782,PM2.5,ug/m3
2023-03-10 20:00:00,Box Hill,-37.8287277,145.1324,15.614,PM2.5,ug/m3
