datetime_local,location_name,latitude,longitude,value,parameter_name,unit_of_measure
2023-01-01 20:00:00,Brighton,-37.9135475,144.998,9.599,PM2.5,ug/m3
2023-01-02 20:00:00,Brighton,-37.9135475,144.998,10.94,PM2.5,ug/m3
2023-01-03 20:00:00,Brighton,-37.9135475,144.998,9.773,PM2.5,ug/m3
2023-01-04 20:00:00,Brighton,-37.9135475,144.998,6.082,PM2.5,ug/m3
2023-01-05 20:00:00,Brighton,-37.9135475,144.998,1.891,PM2.5,ug/m3
2023-01-06 20:00:00,Brighton,-37.9135475,144.998,7.266,PM2.5,ug/m3
2023-01-07 20:00:00,Brighton,-37.9135475,144.998,9.502,PM2.5,ug/m3
2023-01-08 20:00:00,Brighton,-37.9135475,144.998,2.682,PM2.5,ug/m3
2023-01-09 20:00:00,Brighton,-37.9135475,144.998,13.627,PM2.5,ug/m3
2023-01-10 20:00:00,Brighton,-37.9135475,144.998,8.828,PM2.5,ug/m3
2023-01-11 20:00:00,Brighton,-37.9135475,144.998,19.639,PM2.5,ug/m3
2023-01-12 20:00:00,Brighton,-37.9135475,144.998,15.194,PM2.5,ug/m3
2023-01-13 20:00:00,Brighton,-37.9135475,144.998,13.453,PM2.5,ug/m3
2023-01-14 20:00:00,Brighton,-37.9135475,144.998,11.37,PM2.5,ug/m3
2023-01-15 20:00:00,Brighton,-37.9135475,144.998,10.449,PM2.5,ug/m3
2023-01-16 20:00:00,Brighton,-37.9135475,144.998,18.499,PM2.5,ug/m3
2023-01-17 20:00:00,Brighton,-37.9135475,144.998,32.593,PM2.5,ug/m3
2023-01-18 20:00:00,Brighton,-37.9135475,144.998,5.847,PM2.5,ug/m3
2023-01-19 20:00:00,Brighton,-37.9135475,144.998,4.887,PM2.5,ug/m3
2023-01-20 20:00:00,Brighton,-37.9135475,144.998,7.27,PM2.5,ug/m3
2023-01-21 20:00:00,Brighton,-37.9135475,144.998,9.066,PM2.5,ug/m3
2023-01-22 20:00:00,Brighton,-37.9135475,144.998,10.731,PM2.5,ug/m3
2023-01-23 20:00:00,Brighton,-37.9135475,144.998,17.254,PM2.5,ug/m3
2023-01-24 20:00:00,Brighton,-37.9135475,144.998,2.59,PM2.5,ug/m3
2023-01-25 20:00:00,Brighton,-37.9135475,144.998,4.269,PM2.5,ug/m3
2023-01-26 20:00:00,Brighton,-37.9135475,144.998,3.045,PM2.5,ug/m3
2023-01-27 20:00:00,Brighton,-37.9135475,144.998,9.778,PM2.5,ug/m3
2023-01-28 20:00:00,Brighton,-37.9135475,144.998,9.542,PM2.5,ug/m3
2023-01-29 20:00:00,Brighton,-37.9135475,144.998,3.268,PM2.5,ug/m3
2023-01-30 20:00:00,Brighton,-37.9135475,144.998,5.773,PM2.5,ug/m3
2023-01-31 20:00:00,Brighton,-37.9135475,144.998,4.245,PM2.5,ug/m3
2023-02-01 20:00:00,Brighton,-37.9135475,144.998,1.797,PM2.5,ug/m3
2023-02-02 20:00:00,Brighton,-37.9135475,144.998,3.688,PM2.5,ug/m3
2023-02-03 20:00:00,Brighton,-37.9135475,144.998,2.014,PM2.5,ug/m3
2023-02-04 20:00:00,Brighton,-37.9135475,144.998,8.916,PM2.5,ug/m3
2023-02-05 20:00:00,Brighton,-37.9135475,144.998,3.249,PM2.5,ug/m3
2023-02-06 20:00:00,Brighton,-37.9135475,144.998,-2.38,PM2.5,ug/m3
2023-02-07 20:00:00,Brighton,-37.9135475,144.998,0.975,PM2.5,ug/m3
2023-02-08 20:00:00,Brighton,-37.9135475,144.998,3.96,PM2.5,ug/m3
2023-02-09 20:00:00,Brighton,-37.9135475,144.998,3.212,PM2.5,ug/m3
2023-02-10 20:00:00,Brighton,-37.9135475,144.998,3.443,PM2.5,ug/m3
2023-02-11 20:00:00,Brighton,-37.9135475,144.998,3.886,PM2.5,ug/m3
2023-02-12 20:00:00,Brighton,-37.9135475,144.998,5.651,PM2.5,ug/m3
2023-02-13 20:00:00,Brighton,-37.9135475,144.998,2.017,PM2.5,ug/m3
2023-02-14 20:00:00,Brighton,-37.9135475,144.998,7.488,PM2.5,ug/m3
2023-02-15 20:00:00,Brighton,-37.9135475,144.998,5.619,PM2.5,ug/m3
2023-02-16 20:00:00,Brighton,-37.9135475,144.998,4.199,PM2.5,ug/m3
2023-02-17 20:00:00,Brighton,-37.9135475,144.998,17.195,PM2.5,ug/m3
2023-02-18 20:00:00,Brighton,-37.9135475,144.998,3.453,PM2.5,ug/m3
2023-02-19 20:00:00,Brighton,-37.9135475,144.998,2.805,PM2.5,ug/m3
2023-02-20 20:00:00,Brighton,-37.9135475,144.998,5.245,PM2.5,ug/m3
2023-02-21 20:00:00,Brighton,-37.9135475,144.998,5.768,PM2.5,ug/m3
2023-02-22 20:00:00,Brighton,-37.9135475,144.998,5.025,PM2.5,ug/m3
2023-02-23 20:00:00,Brighton,-37.9135475,144.998,10.378,PM2.5,ug/m3
2023-02-24 20:00:00,Brighton,-37.9135475,144.998,1.279,PM2.5,ug/m3
2023-02-25 20:00:00,Brighton,-37.9135475,144.998,8.532,PM2.5,ug/m3
2023-02-26 20:00:00,Brighton,-37.9135475,144.998,2.049,PM2.5,ug/m3
2023-02-27 20:00:00,Brighton,-37.9135475,144.998,0.607,PM2.5,ug/m3
2023-02-28 20:00:00,Brighton,-37.9135475,144.998,5.179,PM2.5,ug/m3
2023-03-01 20:00:00,Brighton,-37.9135475,144.998,2.649,PM2.5,ug/m3
