datetime_local,location_name,latitude,longitude,value,parameter_name,unit_of_measure
2023-01-01 12:00:00,Brooklyn,-37.8220978,144.8471,32.992,DBT,deg.C
2023-01-01 12:00:00,Brooklyn,-37.8220978,144.8471,19.904,BSP,1/Mm
2023-01-01 12:00:00,Brooklyn,-37.8220978,144.8471,11.611,PM10,ug/m3
2023-01-01 12:00:00,Brooklyn,-37.8220978,144.8471,11.611,PM10,ug/m3
2023-01-01 12:00:00,Brooklyn,-37.8220978,144.8471,32.992,DBT,deg.C
2023-01-01 12:00:00,Brooklyn,-37.8220978,144.8471,11.611,PM10,ug/m3
2023-01-01 12:00:00,Brooklyn,-37.8220978,144.8471,19.904,BSP,1/Mm
2023-01-01 12:00:00,Brooklyn,-37.8220978,144.8471,19.904,BSP,1/Mm
2023-01-01 13:00:00,Brooklyn,-37.8220978,144.8471,33.921,DBT,deg.C
2023-01-01 13:00:00,Brooklyn,-37.8220978,144.8471,17.019,BSP,1/Mm
2023-01-01 13:00:00,Brooklyn,-37.8220978,144.8471,8.543,PM10,ug/m3
2023-01-01 13:00:00,Brooklyn,-37.8220978,144.8471,17.019,BSP,1/Mm
2023-01-01 13:00:00,Brooklyn,-37.8220978,144.8471,8.543,PM10,ug/m3
2023-01-01 13:00:00,Brooklyn,-37.8220978,144.8471,33.921,DBT,deg.C
2023-01-01 13:00:00,Brooklyn,-37.8220978,144.8471,8.543,PM10,ug/m3
2023-01-01 13:00:00,Brooklyn,-37.8220978,144.8471,17.019,BSP,1/Mm
2023-01-01 14:00:00,Brooklyn,-37.8220978,144.8471,33.973,DBT,deg.C
2023-01-01 14:00:00,Brooklyn,-37.8220978,144.8471,16.354,BSP,1/Mm
2023-01-01 14:00:00,Brooklyn,-37.8220978,144.8471,7.642,PM10,ug/m3
2023-01-01 14:00:00,Brooklyn,-37.8220978,144.8471,16.354,BSP,1/Mm
2023-01-01 14:00:00,Brooklyn,-37.8220978,144.8471,7.642,PM10,ug/m3
2023-01-01 14:00:00,Brooklyn,-37.8220978,144.8471,33.973,DBT,deg.C
2023-01-01 14:00:00,Brooklyn,-37.8220978,144.8471,7.642,PM10,ug/m3
