datetime_local,location_name,latitude,longitude,value,parameter_name,unit_of_measure
2023-01-01 00:00:00,Dandenong,-37.98576,145.1987,38.244,BSP,1/Mm
2023-01-01 00:00:00,Geelong South,-38.17356,144.3703,34.409,BSP,1/Mm
2023-01-01 00:00:00,Mooroolbark,-37.7749672,145.3285,33.646,BSP,1/Mm
2023-01-01 00:00:00,Alphington,-37.7784081,145.0306,34.258,BSP,1/Mm
2023-01-01 02:00:00,Dandenong,-37.98576,145.1987,49.173,BSP,1/Mm
2023-01-01 02:00:00,Geelong South,-38.17356,144.3703,30.497,BSP,1/Mm
2023-01-01 02:00:00,Mooroolbark,-37.7749672,145.3285,29.625,BSP,1/Mm
2023-01-01 02:00:00,Alphington,-37.7784081,145.0306,59.945,BSP,1/Mm
2023-01-01 03:00:00,Dandenong,-37.98576,145.1987,64.278,BSP,1/Mm
2023-01-01 03:00:00,Geelong South,-38.17356,144.3703,43.38,BSP,1/Mm
2023-01-01 03:00:00,Mooroolbark,-37.7749672,145.3285,30.808,BSP,1/Mm
2023-01-01 03:00:00,Alphington,-37.7784081,145.0306,52.003,BSP,1/Mm
2023-01-01 04:00:00,Dandenong,-37.98576,145.1987,63.276,BSP,1/Mm
2023-01-01 04:00:00,Geelong South,-38.17356,144.3703,53.458,BSP,1/Mm
2023-01-01 04:00:00,Mooroolbark,-37.7749672,145.3285,33.055,BSP,1/Mm
2023-01-01 04:00:00,Alphington,-37.7784081,145.0306,56.553,BSP,1/Mm
2023-01-01 05:00:00,Dandenong,-37.98576,145.1987,63.433,BSP,1/Mm
2023-01-01 05:00:00,Geelong South,-38.17356,144.3703,51.127,BSP,1/Mm
2023-01-01 05:00:00,Mooroolbark,-37.7749672,145.3285,28.886,BSP,1/Mm
2023-01-01 05:00:00,Alphington,-37.7784081,145.0306,70.857,BSP,1/Mm
2023-01-01 06:00:00,Dandenong,-37.98576,145.1987,63.284,BSP,1/Mm
2023-01-01 06:00:00,Geelong South,-38.17356,144.3703,50.341,BSP,1/Mm
2023-01-01 06:00:00,Mooroolbark,-37.7749672,145.3285,28.663,BSP,1/Mm
2023-01-01 06:00:00,Alphington,-37.7784081,145.0306,58.454,BSP,1/Mm
2023-01-01 07:00:00,Dandenong,-37.98576,145.1987,56.009,BSP,1/Mm
2023-01-01 07:00:00,Geelong South,-38.17356,144.3703,55.169,BSP,1/Mm
2023-01-01 07:00:00,Mooroolbark,-37.7749672,145.3285,28.142,BSP,1/Mm
2023-01-01 07:00:00,Alphington,-37.7784081,145.0306,54.739,BSP,1/Mm
2023-01-01 08:00:00,Dandenong,-37.98576,145.1987,40.529,BSP,1/Mm
2023-01-01 08:00:00,Geelong South,-38.17356,144.3703,51.459,BSP,1/Mm
2023-01-01 08:00:00,Mooroolbark,-37.7749672,145.3285,27.014,BSP,1/Mm
2023-01-01 08:00:00,Alphington,-37.7784081,145.0306,32.661,BSP,1/Mm
2023-01-01 09:00:00,Dandenong,-37.98576,145.1987,21.877,BSP,1/Mm
2023-01-01 09:00:00,Point Cook,-37.9263153,144.7567,57.109,BSP,1/Mm
2023-01-01 09:00:00,Geelong South,-38.17356,144.3703,57.504,BSP,1/Mm
2023-01-01 09:00:00,Mooroolbark,-37.7749672,145.3285,27.502,BSP,1/Mm
2023-01-01 09:00:00,Alphington,-37.7784081,145.0306,27.799,BSP,1/Mm
2023-01-01 10:00:00,Dandenong,-37.98576,145.1987,21.552,BSP,1/Mm
2023-01-01 10:00:00,Point Cook,-37.9263153,144.7567,23.765,BSP,1/Mm
2023-01-01 10:00:00,Geelong South,-38.17356,144.3703,62.514,BSP,1/Mm
2023-01-01 10:00:00,Mooroolbark,-37.7749672,145.3285,29.328,BSP,1/Mm
2023-01-01 10:00:00,Alphington,-37.7784081,145.0306,22.052,BSP,1/Mm
2023-01-01 11:00:00,Dandenong,-37.98576,145.1987,20.228,BSP,1/Mm
2023-01-01 11:00:00,Point Cook,-37.9263153,144.7567,22.071,BSP,1/Mm
2023-01-01 11:00:00,Geelong South,-38.17356,144.3703,58.246,BSP,1/Mm
2023-01-01 11:00:00,Mooroolbark,-37.7749672,145.3285,29.068,BSP,1/Mm
2023-01-01 11:00:00,Alphington,-37.7784081,145.0306,20.331,BSP,1/Mm
2023-01-01 12:00:00,Dandenong,-37.98576,145.1987,19.2,BSP,1/Mm
2023-01-01 12:00:00,Point Cook,-37.9263153,144.7567,18.639,BSP,1/Mm
2023-01-01 12:00:00,Geelong South,-38.17356,144.3703,36.901,BSP,1/Mm
2023-01-01 12:00:00,Brooklyn,-37.8220978,144.8471,19.904,BSP,1/Mm
2023-01-01 12:00:00,Mooroolbark,-37.7749672,145.3285,29.087,BSP,1/Mm
2023-01-01 12:00:00,Brooklyn,-37.8220978,144.8471,19.904,BSP,1/Mm
2023-01-01 12:00:00,Alphington,-37.7784081,145.0306,20.558,BSP,1/Mm
2023-01-01 12:00:00,Brooklyn,-37.8220978,144.8471,19.904,BSP,1/Mm
2023-01-01 13:00:00,Dandenong,-37.98576,145.1987,17.291,BSP,1/Mm
2023-01-01 13:00:00,Point Cook,-37.9263153,144.7567,14.069,BSP,1/Mm
2023-01-01 13:00:00,Geelong South,-38.17356,144.3703,25.734,BSP,1/Mm
2023-01-01 13:00:00,Brooklyn,-37.8220978,144.8471,17.019,BSP,1/Mm
2023-01-01 13:00:00,Mooroolbark,-37.7749672,145.3285,28.207,BSP,1/Mm
2023-01-01 13:00:00,Brooklyn,-37.8220978,144.8471,17.019,BSP,1/Mm
2023-01-01 13:00:00,Alphington,-37.7784081,145.0306,16.476,BSP,1/Mm
2023-01-01 13:00:00,Brooklyn,-37.8220978,144.8471,17.019,BSP,1/Mm
2023-01-01 14:00:00,Dandenong,-37.98576,145.1987,16.532,BSP,1/Mm
2023-01-01 14:00:00,Point Cook,-37.9263153,144.7567,13.012,BSP,1/Mm
2023-01-01 14:00:00,Geelong South,-38.17356,144.3703,19.263,BSP,1/Mm
2023-01-01 14:00:00,Brooklyn,-37.8220978,144.8471,16.354,BSP,1/Mm
2023-01-01 14:00:00,Mooroolbark,-37.7749672,145.3285,26.446,BSP,1/Mm
2023-01-01 14:00:00,Brooklyn,-37.8220978,144.8471,16.354,BSP,1/Mm
2023-01-01 14:00:00,Alphington,-37.7784081,145.0306,13.801,BSP,1/Mm
2023-01-01 14:00:00,Brooklyn,-37.8220978,144.8471,16.354,BSP,1/Mm
2023-01-01 15:00:00,Dandenong,-37.98576,145.1987,13.247,BSP,1/Mm
2023-01-01 15:00:00,Point Cook,-37.9263153,144.7567,12.6,BSP,1/Mm
2023-01-01 15:00:00,Geelong South,-38.17356,144.3703,16.203,BSP,1/Mm
2023-01-01 15:00:00,Brooklyn,-37.8220978,144.8471,13.929,BSP,1/Mm
2023-01-01 15:00:00,Mooroolbark,-37.7749672,145.3285,23.432,BSP,1/Mm
2023-01-01 15:00:00,Brooklyn,-37.8220978,144.8471,13.929,BSP,1/Mm
2023-01-01 15:00:00,Alphington,-37.7784081,145.0306,14.671,BSP,1/Mm
2023-01-01 15:00:00,Brooklyn,-37.8220978,144.8471,13.929,BSP,1/Mm
2023-01-01 16:00:00,Dandenong,-37.98576,145.1987,13.468,BSP,1/Mm
2023-01-01 16:00:00,Point Cook,-37.9263153,144.7567,13.365,BSP,1/Mm
2023-01-01 16:00:00,Geelong South,-38.17356,144.3703,15.906,BSP,1/Mm
2023-01-01 16:00:00,Brooklyn,-37.8220978,144.8471,15.018,BSP,1/Mm
2023-01-01 16:00:00,Mooroolbark,-37.7749672,145.3285,21.257,BSP,1/Mm
2023-01-01 16:00:00,Brooklyn,-37.8220978,144.8471,15.018,BSP,1/Mm
2023-01-01 16:00:00,Alphington,-37.7784081,145.0306,15.363,BSP,1/Mm
2023-01-01 16:00:00,Brooklyn,-37.8220978,144.8471,15.018,BSP,1/Mm
2023-01-01 17:00:00,Dandenong,-37.98576,145.1987,14.202,BSP,1/Mm
2023-01-01 17:00:00,Point Cook,-37.9263153,144.7567,15.143,BSP,1/Mm
2023-01-01 17:00:00,Geelong South,-38.17356,144.3703,15.628,BSP,1/Mm
2023-01-01 17:00:00,Brooklyn,-37.8220978,144.8471,15.542,BSP,1/Mm
2023-01-01 17:00:00,Mooroolbark,-37.7749672,145.3285,22.054,BSP,1/Mm
2023-01-01 17:00:00,Brooklyn,-37.8220978,144.8471,15.542,BSP,1/Mm
2023-01-01 17:00:00,Alphington,-37.7784081,145.0306,15.831,BSP,1/Mm
2023-01-01 17:00:00,Brooklyn,-37.8220978,144.8471,15.542,BSP,1/Mm
2023-01-01 18:00:00,Dandenong,-37.98576,145.1987,14.959,BSP,1/Mm
2023-01-01 18:00:00,Point Cook,-37.9263153,144.7567,16.798,BSP,1/Mm
2023-01-01 18:00:00,Geelong South,-38.17356,144.3703,16.829,BSP,1/Mm
2023-01-01 18:00:00,Brooklyn,-37.8220978,144.8471,15.4,BSP,1/Mm
2023-01-01 18:00:00,Mooroolbark,-37.7749672,145.3285,23.137,BSP,1/Mm
2023-01-01 18:00:00,Brooklyn,-37.8220978,144.8471,15.4,BSP,1/Mm
2023-01-01 18:00:00,Alphington,-37.7784081,145.0306,15.774,BSP,1/Mm
2023-01-01 18:00:00,Brooklyn,-37.8220978,144.8471,15.4,BSP,1/Mm
2023-01-01 19:00:00,Dandenong,-37.98576,145.1987,15.358,BSP,1/Mm
2023-01-01 19:00:00,Point Cook,-37.9263153,144.7567,17.864,BSP,1/Mm
2023-01-01 19:00:00,Geelong South,-38.17356,144.3703,26.448,BSP,1/Mm
2023-01-01 19:00:00,Brooklyn,-37.8220978,144.8471,15.866,BSP,1/Mm
2023-01-01 19:00:00,Mooroolbark,-37.7749672,145.3285,23.767,BSP,1/Mm
2023-01-01 19:00:00,Brooklyn,-37.8220978,144.8471,15.866,BSP,1/Mm
2023-01-01 19:00:00,Alphington,-37.7784081,145.0306,16.501,BSP,1/Mm
2023-01-01 19:00:00,Brooklyn,-37.8220978,144.8471,15.866,BSP,1/Mm
2023-01-01 20:00:00,Dandenong,-37.98576,145.1987,15.915,BSP,1/Mm
2023-01-01 20:00:00,Point Cook,-37.9263153,144.7567,17.399,BSP,1/Mm
2023-01-01 20:00:00,Geelong South,-38.17356,144.3703,32.846,BSP,1/Mm
2023-01-01 20:00:00,Brooklyn,-37.8220978,144.8471,17.939,BSP,1/Mm
2023-01-01 20:00:00,Mooroolbark,-37.7749672,145.3285,26.284,BSP,1/Mm
2023-01-01 20:00:00,Brooklyn,-37.8220978,144.8471,17.939,BSP,1/Mm
2023-01-01 20:00:00,Alphington,-37.7784081,145.0306,17.291,BSP,1/Mm
2023-01-01 20:00:00,Brooklyn,-37.8220978,144.8471,17.939,BSP,1/Mm
2023-01-01 21:00:00,Dandenong,-37.98576,145.1987,20.614,BSP,1/Mm
2023-01-01 21:00:00,Geelong South,-38.17356,144.3703,34.639,BSP,1/Mm
2023-01-01 21:00:00,Brooklyn,-37.8220978,144.8471,18.424,BSP,1/Mm
2023-01-01 21:00:00,Mooroolbark,-37.7749672,145.3285,27.806,BSP,1/Mm
2023-01-01 21:00:00,Brooklyn,-37.8220978,144.8471,18.424,BSP,1/Mm
2023-01-01 21:00:00,Alphington,-37.7784081,145.0306,17.423,BSP,1/Mm
2023-01-01 21:00:00,Brooklyn,-37.8220978,144.8471,18.424,BSP,1/Mm
2023-01-01 22:00:00,Dandenong,-37.98576,145.1987,24.102,BSP,1/Mm
2023-01-01 22:00:00,Geelong South,-38.17356,144.3703,34.47,BSP,1/Mm
2023-01-01 22:00:00,Brooklyn,-37.8220978,144.8471,19.534,BSP,1/Mm
2023-01-01 22:00:00,Mooroolbark,-37.7749672,145.3285,29.468,BSP,1/Mm
2023-01-01 22:00:00,Brooklyn,-37.8220978,144.8471,19.534,BSP,1/Mm
2023-01-01 22:00:00,Alphington,-37.7784081,145.0306,18.868,BSP,1/Mm
2023-01-01 22:00:00,Brooklyn,-37.8220978,144.8471,19.534,BSP,1/Mm
2023-01-01 23:00:00,Dandenong,-37.98576,145.1987,21.734,BSP,1/Mm
2023-01-01 23:00:00,Geelong South,-38.17356,144.3703,35.375,BSP,1/Mm
2023-01-01 23:00:00,Brooklyn,-37.8220978,144.8471,19.976,BSP,1/Mm
2023-01-01 23:00:00,Mooroolbark,-37.7749672,145.3285,29.649,BSP,1/Mm
