datetime_local,location_name,latitude,longitude,value,parameter_name,unit_of_measure
2023-01-01 20:00:00,Dandenong,-37.98576,145.1987,4.582,NO2,ppb
2023-01-01 20:00:00,Alphington,-37.7784081,145.0306,6.93,NO2,ppb
2023-01-01 20:00:00,Altona North,-37.84455,144.8629,3.924,NO2,ppb
2023-01-01 20:00:00,Footscray,-37.803709,144.869342,3.419,NO2,ppb
2023-01-01 20:00:00,Geelong South,-38.17356,144.3703,2.959,NO2,ppb
2023-01-02 20:00:00,Dandenong,-37.98576,145.1987,3.072,NO2,ppb
2023-01-02 20:00:00,Alphington,-37.7784081,145.0306,3.042,NO2,ppb
2023-01-02 20:00:00,Altona North,-37.84455,144.8629,1.095,NO2,ppb
2023-01-02 20:00:00,Footscray,-37.803709,144.869342,1.524,NO2,ppb
2023-01-02 20:00:00,Geelong South,-38.17356,144.3703,0.721,NO2,ppb
2023-01-03 20:00:00,Dandenong,-37.98576,145.1987,2.566,NO2,ppb
2023-01-03 20:00:00,Alphington,-37.7784081,145.0306,1.842,NO2,ppb
2023-01-03 20:00:00,Altona North,-37.84455,144.8629,1.373,NO2,ppb
2023-01-03 20:00:00,Footscray,-37.803709,144.869342,2.138,NO2,ppb
2023-01-03 20:00:00,Geelong South,-38.17356,144.3703,0.654,NO2,ppb
2023-01-04 20:00:00,Dandenong,-37.98576,145.1987,3.583,NO2,ppb
2023-01-04 20:00:00,Alphington,-37.7784081,145.0306,2.941,NO2,ppb
2023-01-04 20:00:00,Altona North,-37.84455,144.8629,0.542,NO2,ppb
2023-01-04 20:00:00,Footscray,-37.803709,144.869342,1.402,NO2,ppb
2023-01-04 20:00:00,Geelong South,-38.17356,144.3703,0.646,NO2,ppb
2023-01-05 20:00:00,Dandenong,-37.98576,145.1987,5.545,NO2,ppb
2023-01-05 20:00:00,Alphington,-37.7784081,145.0306,2.186,NO2,ppb
2023-01-05 20:00:00,Altona North,-37.84455,144.8629,1.412,NO2,ppb
2023-01-05 20:00:00,Footscray,-37.803709,144.869342,2.791,NO2,ppb
2023-01-05 20:00:00,Geelong South,-38.17356,144.3703,0.808,NO2,ppb
2023-01-06 20:00:00,Dandenong,-37.98576,145.1987,3.633,NO2,ppb
2023-01-06 20:00:00,Alphington,-37.7784081,145.0306,1.92,NO2,ppb
2023-01-06 20:00:00,Altona North,-37.84455,144.8629,2.231,NO2,ppb
2023-01-06 20:00:00,Footscray,-37.803709,144.869342,3.238,NO2,ppb
2023-01-06 20:00:00,Geelong South,-38.17356,144.3703,0.713,NO2,ppb
2023-01-07 20:00:00,Dandenong,-37.98576,145.1987,3.51,NO2,ppb
2023-01-07 20:00:00,Alphington,-37.7784081,145.0306,2.258,NO2,ppb
2023-01-07 20:00:00,Altona North,-37.84455,144.8629,3.951,NO2,ppb
2023-01-07 20:00:00,Footscray,-37.803709,144.869342,3.335,NO2,ppb
2023-01-07 20:00:00,Geelong South,-38.17356,144.3703,4.698,NO2,ppb
2023-01-08 20:00:00,Dandenong,-37.98576,145.1987,6.803,NO2,ppb
2023-01-08 20:00:00,Alphington,-37.7784081,145.0306,2.88,NO2,ppb
2023-01-08 20:00:00,Altona North,-37.84455,144.8629,10.069,NO2,ppb
2023-01-08 20:00:00,Footscray,-37.803709,144.869342,9.339,NO2,ppb
2023-01-08 20:00:00,Geelong South,-38.17356,144.3703,1.652,NO2,ppb
2023-01-09 20:00:00,Dandenong,-37.98576,145.1987,2.789,NO2,ppb
2023-01-09 20:00:00,Alphington,-37.7784081,145.0306,4.59,NO2,ppb
2023-01-09 20:00:00,Altona North,-37.84455,144.8629,1.079,NO2,ppb
2023-01-09 20:00:00,Footscray,-37.803709,144.869342,1.763,NO2,ppb
2023-01-09 20:00:00,Geelong South,-38.17356,144.3703,0.904,NO2,ppb
2023-01-10 20:00:00,Dandenong,-37.98576,145.1987,4.76,NO2,ppb
2023-01-10 20:00:00,Alphington,-37.7784081,145.0306,4.944,NO2,ppb
2023-01-10 20:00:00,Altona North,-37.84455,144.8629,3.522,NO2,ppb
2023-01-10 20:00:00,Footscray,-37.803709,144.869342,3.596,NO2,ppb
2023-01-10 20:00:00,Geelong South,-38.17356,144.3703,1.164,NO2,ppb
