datetime_local,location_name,latitude,longitude,value,parameter_name,unit_of_measure
2023-01-01 20:00:00,Footscray,-37.803709,144.869342,40.346,O3,ppb
2023-01-01 20:00:00,Geelong South,-38.17356,144.3703,43.407,O3,ppb
2023-01-01 20:00:00,Alphington,-37.7784081,145.0306,29.401,O3,ppb
2023-01-01 20:00:00,Mooroolbark,-37.7749672,145.3285,34.87,O3,ppb
2023-01-01 20:00:00,Point Cook,-37.9263153,144.7567,40.4,O3,ppb
2023-01-01 20:00:00,Dandenong,-37.98576,145.1987,33.954,O3,ppb
2023-01-02 20:00:00,Footscray,-37.803709,144.869342,14.536,O3,ppb
2023-01-02 20:00:00,Geelong South,-38.17356,144.3703,16.26,O3,ppb
2023-01-02 20:00:00,Alphington,-37.7784081,145.0306,11.369,O3,ppb
2023-01-02 20:00:00,Mooroolbark,-37.7749672,145.3285,16.156,O3,ppb
2023-01-02 20:00:00,Dandenong,-37.98576,145.1987,13.642,O3,ppb
2023-01-03 20:00:00,Footscray,-37.803709,144.869342,13.876,O3,ppb
2023-01-03 20:00:00,Geelong South,-38.17356,144.3703,16.514,O3,ppb
2023-01-03 20:00:00,Alphington,-37.7784081,145.0306,12.205,O3,ppb
2023-01-03 20:00:00,Mooroolbark,-37.7749672,145.3285,14.689,O3,ppb
2023-01-03 20:00:00,Dandenong,-37.98576,145.1987,14.054,O3,ppb
2023-01-04 20:00:00,Footscray,-37.803709,144.869342,14.034,O3,ppb
2023-01-04 20:00:00,Geelong South,-38.17356,144.3703,14.736,O3,ppb
2023-01-04 20:00:00,Alphington,-37.7784081,145.0306,9.633,O3,ppb
2023-01-04 20:00:00,Mooroolbark,-37.7749672,145.3285,12.491,O3,ppb
2023-01-04 20:00:00,Point Cook,-37.9263153,144.7567,14.945,O3,ppb
2023-01-04 20:00:00,Dandenong,-37.98576,145.1987,12.173,O3,ppb
2023-01-05 20:00:00,Footscray,-37.803709,144.869342,12.894,O3,ppb
2023-01-05 20:00:00,Geelong South,-38.17356,144.3703,16.179,O3,ppb
2023-01-05 20:00:00,Alphington,-37.7784081,145.0306,12.574,O3,ppb
2023-01-05 20:00:00,Mooroolbark,-37.7749672,145.3285,12.061,O3,ppb
2023-01-05 20:00:00,Point Cook,-37.9263153,144.7567,15.311,O3,ppb
2023-01-05 20:00:00,Dandenong,-37.98576,145.1987,13.494,O3,ppb
2023-01-06 20:00:00,Footscray,-37.803709,144.869342,14.75,O3,ppb
2023-01-06 20:00:00,Geelong South,-38.17356,144.3703,16.141,O3,ppb
2023-01-06 20:00:00,Alphington,-37.7784081,145.0306,12.765,O3,ppb
2023-01-06 20:00:00,Mooroolbark,-37.7749672,145.3285,14.337,O3,ppb
2023-01-06 20:00:00,Point Cook,-37.9263153,144.7567,16.676,O3,ppb
2023-01-06 20:00:00,Dandenong,-37.98576,145.1987,13.977,O3,ppb
2023-01-07 20:00:00,Footscray,-37.803709,144.869342,23.15,O3,ppb
2023-01-07 20:00:00,Geelong South,-38.17356,144.3703,22.691,O3,ppb
2023-01-07 20:00:00,Alphington,-37.7784081,145.0306,18.555,O3,ppb
2023-01-07 20:00:00,Mooroolbark,-37.7749672,145.3285,18.533,O3,ppb
2023-01-07 20:00:00,Point Cook,-37.9263153,144.7567,25.303,O3,ppb
2023-01-07 20:00:00,Dandenong,-37.98576,145.1987,17.467,O3,ppb
2023-01-08 20:00:00,Footscray,-37.803709,144.869342,26.433,O3,ppb
2023-01-08 20:00:00,Geelong South,-38.17356,144.3703,22.873,O3,ppb
2023-01-08 20:00:00,Alphington,-37.7784081,145.0306,24.643,O3,ppb
2023-01-08 20:00:00,Mooroolbark,-37.7749672,145.3285,27.559,O3,ppb
2023-01-08 20:00:00,Point Cook,-37.9263153,144.7567,38.495,O3,ppb
2023-01-08 20:00:00,Dandenong,-37.98576,145.1987,27.723,O3,ppb
2023-01-09 20:00:00,Footscray,-37.803709,144.869342,19.189,O3,ppb
2023-01-09 20:00:00,Geelong South,-38.17356,144.3703,15.548,O3,ppb
2023-01-09 20:00:00,Alphington,-37.7784081,145.0306,13.829,O3,ppb
2023-01-09 20:00:00,Mooroolbark,-37.7749672,145.3285,25.733,O3,ppb
2023-01-09 20:00:00,Point Cook,-37.9263153,144.7567,20.462,O3,ppb
2023-01-09 20:00:00,Dandenong,-37.98576,145.1987,19.033,O3,ppb
2023-01-10 20:00:00,Footscray,-37.803709,144.869342,14.201,O3,ppb
2023-01-10 20:00:00,Geelong South,-38.17356,144.3703,16.546,O3,ppb
2023-01-10 20:00:00,Alphington,-37.7784081,145.0306,15.498,O3,ppb
2023-01-10 20:00:00,Mooroolbark,-37.7749672,145.3285,18.816,O3,ppb
2023-01-10 20:00:00,Point Cook,-37.9263153,144.7567,14.822,O3,ppb
2023-01-10 20:00:00,Dandenong,-37.98576,145.1987,16.768,O3,ppb
2023-01-11 20:00:00,Footscray,-37.803709,144.869342,33.405,O3,ppb
2023-01-11 20:00:00,Geelong South,-38.17356,144.3703,27.485,O3,ppb
2023-01-11 20:00:00,Alphington,-37.7784081,145.0306,28.232,O3,ppb
2023-01-11 20:00:00,Mooroolbark,-37.7749672,145.3285,21.09,O3,ppb
2023-01-11 20:00:00,Point Cook,-37.9263153,144.7567,27.475,O3,ppb
2023-01-11 20:00:00,Dandenong,-37.98576,145.1987,18.627,O3,ppb
2023-01-12 20:00:00,Footscray,-37.803709,144.869342,17.298,O3,ppb
2023-01-12 20:00:00,Geelong South,-38.17356,144.3703,16.147,O3,ppb
2023-01-12 20:00:00,Alphington,-37.7784081,145.0306,15.837,O3,ppb
2023-01-12 20:00:00,Mooroolbark,-37.7749672,145.3285,27.676,O3,ppb
2023-01-12 20:00:00,Point Cook,-37.9263153,144.7567,17.486,O3,ppb
2023-01-12 20:00:00,Dandenong,-37.98576,145.1987,21.997,O3,ppb
2023-01-13 20:00:00,Footscray,-37.803709,144.869342,16.159,O3,ppb
2023-01-13 20:00:00,Geelong South,-38.17356,144.3703,18.556,O3,ppb
2023-01-13 20:00:00,Alphington,-37.7784081,145.0306,19.489,O3,ppb
2023-01-13 20:00:00,Mooroolbark,-37.7749672,145.3285,20.284,O3,ppb
2023-01-13 20:00:00,Point Cook,-37.9263153,144.7567,19.472,O3,ppb
2023-01-13 20:00:00,Dandenong,-37.98576,145.1987,16.841,O3,ppb
2023-01-14 20:00:00,Footscray,-37.803709,144.869342,41.038,O3,ppb
2023-01-14 20:00:00,Geelong South,-38.17356,144.3703,32.179,O3,ppb
2023-01-14 20:00:00,Alphington,-37.7784081,145.0306,44.093,O3,ppb
2023-01-14 20:00:00,Mooroolbark,-37.7749672,145.3285,34.636,O3,ppb
2023-01-14 20:00:00,Point Cook,-37.9263153,144.7567,36.592,O3,ppb
2023-01-14 20:00:00,Dandenong,-37.98576,145.1987,42.084,O3,ppb
2023-01-15 20:00:00,Footscray,-37.803709,144.869342,14.158,O3,ppb
2023-01-15 20:00:00,Geelong South,-38.17356,144.3703,15.281,O3,ppb
2023-01-15 20:00:00,Alphington,-37.7784081,145.0306,14.702,O3,ppb
2023-01-15 20:00:00,Mooroolbark,-37.7749672,145.3285,14.321,O3,ppb
2023-01-15 20:00:00,Point Cook,-37.9263153,144.7567,15.608,O3,ppb
2023-01-15 20:00:00,Dandenong,-37.98576,145.1987,14.412,O3,ppb
2023-01-16 20:00:00,Footscray,-37.803709,144.869342,9.803,O3,ppb
2023-01-16 20:00:00,Geelong South,-38.17356,144.3703,25.753,O3,ppb
2023-01-16 20:00:00,Alphington,-37.7784081,145.0306,18.747,O3,ppb
2023-01-16 20:00:00,Mooroolbark,-37.7749672,145.3285,16.438,O3,ppb
2023-01-16 20:00:00,Point Cook,-37.9263153,144.7567,17.769,O3,ppb
2023-01-16 20:00:00,Dandenong,-37.98576,145.1987,13.595,O3,ppb
2023-01-17 20:00:00,Footscray,-37.803709,144.869342,31.006,O3,ppb
2023-01-17 20:00:00,Geelong South,-38.17356,144.3703,42.125,O3,ppb
2023-01-17 20:00:00,Alphington,-37.7784081,145.0306,29.428,O3,ppb
2023-01-17 20:00:00,Mooroolbark,-37.7749672,145.3285,36.16,O3,ppb
2023-01-17 20:00:00,Point Cook,-37.9263153,144.7567,33.122,O3,ppb
2023-01-17 20:00:00,Dandenong,-37.98576,145.1987,31.853,O3,ppb
2023-01-18 20:00:00,Footscray,-37.803709,144.869342,14.315,O3,ppb
2023-01-18 20:00:00,Geelong South,-38.17356,144.3703,14.991,O3,ppb
2023-01-18 20:00:00,Alphington,-37.7784081,145.0306,14.339,O3,ppb
2023-01-18 20:00:00,Mooroolbark,-37.7749672,145.3285,8.899,O3,ppb
2023-01-18 20:00:00,Point Cook,-37.9263153,144.7567,16.311,O3,ppb
2023-01-18 20:00:00,Dandenong,-37.98576,145.1987,13.88,O3,ppb
2023-01-19 20:00:00,Footscray,-37.803709,144.869342,14.113,O3,ppb
2023-01-19 20:00:00,Geelong South,-38.17356,144.3703,14.842,O3,ppb
2023-01-19 20:00:00,Alphington,-37.7784081,145.0306,14.737,O3,ppb
2023-01-19 20:00:00,Mooroolbark,-37.7749672,145.3285,14.653,O3,ppb
2023-01-19 20:00:00,Melton,-37.7064552,144.5669,14.813,O3,ppb
2023-01-19 20:00:00,Point Cook,-37.9263153,144.7567,16.094,O3,ppb
2023-01-19 20:00:00,Dandenong,-37.98576,145.1987,13.568,O3,ppb
2023-01-20 20:00:00,Footscray,-37.803709,144.869342,24.578,O3,ppb
2023-01-20 20:00:00,Geelong South,-38.17356,144.3703,24.802,O3,ppb
2023-01-20 20:00:00,Alphington,-37.7784081,145.0306,24.573,O3,ppb
2023-01-20 20:00:00,Mooroolbark,-37.7749672,145.3285,22.402,O3,ppb
2023-01-20 20:00:00,Melton,-37.7064552,144.5669,24.868,O3,ppb
2023-01-20 20:00:00,Point Cook,-37.9263153,144.7567,25.969,O3,ppb
2023-01-20 20:00:00,Dandenong,-37.98576,145.1987,16.14,O3,ppb
2023-01-21 20:00:00,Footscray,-37.803709,144.869342,17.488,O3,ppb
2023-01-21 20:00:00,Geelong South,-38.17356,144.3703,14.5,O3,ppb
2023-01-21 20:00:00,Alphington,-37.7784081,145.0306,19.528,O3,ppb
2023-01-21 20:00:00,Mooroolbark,-37.7749672,145.3285,17.387,O3,ppb
2023-01-21 20:00:00,Melton,-37.7064552,144.5669,18.455,O3,ppb
2023-01-21 20:00:00,Point Cook,-37.9263153,144.7567,17.919,O3,ppb
2023-01-21 20:00:00,Dandenong,-37.98576,145.1987,18.422,O3,ppb
2023-01-22 20:00:00,Footscray,-37.803709,144.869342,12.924,O3,ppb
2023-01-22 20:00:00,Geelong South,-38.17356,144.3703,12.962,O3,ppb
2023-01-22 20:00:00,Alphington,-37.7784081,145.0306,10.495,O3,ppb
2023-01-22 20:00:00,Mooroolbark,-37.7749672,145.3285,21.743,O3,ppb
2023-01-22 20:00:00,Melton,-37.7064552,144.5669,14.797,O3,ppb
2023-01-22 20:00:00,Point Cook,-37.9263153,144.7567,13.621,O3,ppb
2023-01-22 20:00:00,Dandenong,-37.98576,145.1987,14.711,O3,ppb
2023-01-23 20:00:00,Footscray,-37.803709,144.869342,28.633,O3,ppb
2023-01-23 20:00:00,Geelong South,-38.17356,144.3703,13.898,O3,ppb
2023-01-23 20:00:00,Alphington,-37.7784081,145.0306,33.875,O3,ppb
2023-01-23 20:00:00,Mooroolbark,-37.7749672,145.3285,23.185,O3,ppb
2023-01-23 20:00:00,Melton,-37.7064552,144.5669,30.85,O3,ppb
2023-01-23 20:00:00,Point Cook,-37.9263153,144.7567,25.247,O3,ppb
2023-01-23 20:00:00,Dandenong,-37.98576,145.1987,24.336,O3,ppb
2023-01-24 20:00:00,Footscray,-37.803709,144.869342,21.052,O3,ppb
2023-01-24 20:00:00,Geelong South,-38.17356,144.3703,22.638,O3,ppb
2023-01-24 20:00:00,Alphington,-37.7784081,145.0306,15.508,O3,ppb
2023-01-24 20:00:00,Mooroolbark,-37.7749672,145.3285,17.768,O3,ppb
2023-01-24 20:00:00,Melton,-37.7064552,144.5669,32.018,O3,ppb
2023-01-24 20:00:00,Point Cook,-37.9263153,144.7567,29.776,O3,ppb
2023-01-24 20:00:00,Dandenong,-37.98576,145.1987,25.429,O3,ppb
2023-01-25 20:00:00,Footscray,-37.803709,144.869342,17.639,O3,ppb
2023-01-25 20:00:00,Geelong South,-38.17356,144.3703,15.979,O3,ppb
2023-01-25 20:00:00,Alphington,-37.7784081,145.0306,14.251,O3,ppb
2023-01-25 20:00:00,Mooroolbark,-37.7749672,145.3285,31.145,O3,ppb
2023-01-25 20:00:00,Melton,-37.7064552,144.5669,18.196,O3,ppb
2023-01-25 20:00:00,Point Cook,-37.9263153,144.7567,18.88,O3,ppb
2023-01-25 20:00:00,Dandenong,-37.98576,145.1987,15.66,O3,ppb
2023-01-26 20:00:00,Footscray,-37.803709,144.869342,15.453,O3,ppb
2023-01-26 20:00:00,Geelong South,-38.17356,144.3703,13.997,O3,ppb
2023-01-26 20:00:00,Alphington,-37.7784081,145.0306,16.317,O3,ppb
2023-01-26 20:00:00,Mooroolbark,-37.7749672,145.3285,16.261,O3,ppb
2023-01-26 20:00:00,Melton,-37.7064552,144.5669,14.753,O3,ppb
2023-01-26 20:00:00,Point Cook,-37.9263153,144.7567,15.294,O3,ppb
2023-01-26 20:00:00,Dandenong,-37.98576,145.1987,14.65,O3,ppb
2023-01-27 20:00:00,Footscray,-37.803709,144.869342,26.927,O3,ppb
2023-01-27 20:00:00,Geelong South,-38.17356,144.3703,20.776,O3,ppb
2023-01-27 20:00:00,Alphington,-37.7784081,145.0306,25.595,O3,ppb
2023-01-27 20:00:00,Mooroolbark,-37.7749672,145.3285,34.25,O3,ppb
2023-01-27 20:00:00,Melton,-37.7064552,144.5669,32.782,O3,ppb
2023-01-27 20:00:00,Point Cook,-37.9263153,144.7567,25.252,O3,ppb
2023-01-27 20:00:00,Dandenong,-37.98576,145.1987,26.113,O3,ppb
2023-01-28 20:00:00,Footscray,-37.803709,144.869342,18.23,O3,ppb
2023-01-28 20:00:00,Geelong South,-38.17356,144.3703,21.398,O3,ppb
2023-01-28 20:00:00,Alphington,-37.7784081,145.0306,17.78,O3,ppb
2023-01-28 20:00:00,Mooroolbark,-37.7749672,145.3285,35.272,O3,ppb
2023-01-28 20:00:00,Melton,-37.7064552,144.5669,22.771,O3,ppb
2023-01-28 20:00:00,Point Cook,-37.9263153,144.7567,22.143,O3,ppb
2023-01-28 20:00:00,Dandenong,-37.98576,145.1987,24.725,O3,ppb
2023-01-29 20:00:00,Footscray,-37.803709,144.869342,18.505,O3,ppb
2023-01-29 20:00:00,Geelong South,-38.17356,144.3703,16.566,O3,ppb
2023-01-29 20:00:00,Alphington,-37.7784081,145.0306,16.771,O3,ppb
2023-01-29 20:00:00,Mooroolbark,-37.7749672,145.3285,16.705,O3,ppb
2023-01-29 20:00:00,Melton,-37.7064552,144.5669,16.634,O3,ppb
2023-01-29 20:00:00,Point Cook,-37.9263153,144.7567,17.873,O3,ppb
2023-01-29 20:00:00,Dandenong,-37.98576,145.1987,16.597,O3,ppb
2023-01-30 20:00:00,Footscray,-37.803709,144.869342,16.159,O3,ppb
2023-01-30 20:00:00,Geelong South,-38.17356,144.3703,15.57,O3,ppb
2023-01-30 20:00:00,Alphington,-37.7784081,145.0306,17.439,O3,ppb
2023-01-30 20:00:00,Mooroolbark,-37.7749672,145.3285,17.921,O3,ppb
2023-01-30 20:00:00,Melton,-37.7064552,144.5669,17.104,O3,ppb
2023-01-30 20:00:00,Point Cook,-37.9263153,144.7567,17.351,O3,ppb
2023-01-30 20:00:00,Dandenong,-37.98576,145.1987,13.997,O3,ppb
2023-01-31 20:00:00,Footscray,-37.803709,144.869342,14.847,O3,ppb
2023-01-31 20:00:00,Geelong South,-38.17356,144.3703,15.428,O3,ppb
2023-01-31 20:00:00,Alphington,-37.7784081,145.0306,15.829,O3,ppb
2023-01-31 20:00:00,Mooroolbark,-37.7749672,145.3285,19.021,O3,ppb
2023-01-31 20:00:00,Melton,-37.7064552,144.5669,17.089,O3,ppb
2023-01-31 20:00:00,Point Cook,-37.9263153,144.7567,16.67,O3,ppb
2023-01-31 20:00:00,Dandenong,-37.98576,145.1987,16.866,O3,ppb
2023-02-01 20:00:00,Footscray,-37.803709,144.869342,14.148,O3,ppb
2023-02-01 20:00:00,Geelong South,-38.17356,144.3703,15.076,O3,ppb
2023-02-01 20:00:00,Alphington,-37.7784081,145.0306,14.544,O3,ppb
2023-02-01 20:00:00,Mooroolbark,-37.7749672,145.3285,12.381,O3,ppb
