datetime_local,location_name,latitude,longitude,value,parameter_name,unit_of_measure
2023-01-01 20:00:00,Mooroolbark,-37.7749672,145.3285,25.569,PM10,ug/m3
2023-01-01 20:00:00,Footscray,-37.803709,144.869342,22.358,PM10,ug/m3
2023-01-01 20:00:00,Brooklyn,-37.8220978,144.8471,24.772,PM10,ug/m3
2023-01-01 20:00:00,Alphington,-37.7784081,145.0306,24.725,PM10,ug/m3
2023-01-01 20:00:00,Dandenong,-37.98576,145.1987,17.779,PM10,ug/m3
2023-01-01 20:00:00,Brooklyn,-37.8220978,144.8471,24.772,PM10,ug/m3
2023-01-01 20:00:00,Brooklyn,-37.8220978,144.8471,24.772,PM10,ug/m3
2023-01-01 20:00:00,Geelong South,-38.17356,144.3703,32.762,PM10,ug/m3
2023-01-02 20:00:00,Mooroolbark,-37.7749672,145.3285,20.105,PM10,ug/m3
2023-01-02 20:00:00,Footscray,-37.803709,144.869342,4.726,PM10,ug/m3
2023-01-02 20:00:00,Brooklyn,-37.8220978,144.8471,10.491,PM10,ug/m3
2023-01-02 20:00:00,Alphington,-37.7784081,145.0306,7.613,PM10,ug/m3
2023-01-02 20:00:00,Dandenong,-37.98576,145.1987,10.493,PM10,ug/m3
2023-01-02 20:00:00,Brooklyn,-37.8220978,144.8471,10.491,PM10,ug/m3
2023-01-02 20:00:00,Brooklyn,-37.8220978,144.8471,10.491,PM10,ug/m3
2023-01-02 20:00:00,Geelong South,-38.17356,144.3703,12.917,PM10,ug/m3
2023-01-03 20:00:00,Mooroolbark,-37.7749672,145.3285,12.135,PM10,ug/m3
2023-01-03 20:00:00,Footscray,-37.803709,144.869342,14.394,PM10,ug/m3
2023-01-03 20:00:00,Brooklyn,-37.8220978,144.8471,20.817,PM10,ug/m3
2023-01-03 20:00:00,Alphington,-37.7784081,145.0306,13.391,PM10,ug/m3
2023-01-03 20:00:00,Dandenong,-37.98576,145.1987,16.998,PM10,ug/m3
2023-01-03 20:00:00,Brooklyn,-37.8220978,144.8471,20.817,PM10,ug/m3
2023-01-03 20:00:00,Brooklyn,-37.8220978,144.8471,20.817,PM10,ug/m3
2023-01-03 20:00:00,Geelong South,-38.17356,144.3703,16.049,PM10,ug/m3
2023-01-04 20:00:00,Mooroolbark,-37.7749672,145.3285,10.299,PM10,ug/m3
2023-01-04 20:00:00,Footscray,-37.803709,144.869342,22.183,PM10,ug/m3
2023-01-04 20:00:00,Brooklyn,-37.8220978,144.8471,22.452,PM10,ug/m3
2023-01-04 20:00:00,Alphington,-37.7784081,145.0306,19.74,PM10,ug/m3
2023-01-04 20:00:00,Dandenong,-37.98576,145.1987,12.029,PM10,ug/m3
2023-01-04 20:00:00,Brooklyn,-37.8220978,144.8471,22.452,PM10,ug/m3
2023-01-04 20:00:00,Brooklyn,-37.8220978,144.8471,22.452,PM10,ug/m3
2023-01-04 20:00:00,Geelong South,-38.17356,144.3703,19.032,PM10,ug/m3
2023-01-05 20:00:00,Mooroolbark,-37.7749672,145.3285,11.078,PM10,ug/m3
2023-01-05 20:00:00,Brooklyn,-37.8220978,144.8471,19.447,PM10,ug/m3
2023-01-05 20:00:00,Alphington,-37.7784081,145.0306,4.045,PM10,ug/m3
2023-01-05 20:00:00,Dandenong,-37.98576,145.1987,23.147,PM10,ug/m3
2023-01-05 20:00:00,Brooklyn,-37.8220978,144.8471,19.447,PM10,ug/m3
2023-01-05 20:00:00,Brooklyn,-37.8220978,144.8471,19.447,PM10,ug/m3
2023-01-05 20:00:00,Geelong South,-38.17356,144.3703,19.76,PM10,ug/m3
2023-01-06 20:00:00,Mooroolbark,-37.7749672,145.3285,14.096,PM10,ug/m3
2023-01-06 20:00:00,Brooklyn,-37.8220978,144.8471,26.699,PM10,ug/m3
2023-01-06 20:00:00,Dandenong,-37.98576,145.1987,23.085,PM10,ug/m3
2023-01-06 20:00:00,Brooklyn,-37.8220978,144.8471,26.699,PM10,ug/m3
2023-01-06 20:00:00,Brooklyn,-37.8220978,144.8471,26.699,PM10,ug/m3
2023-01-06 20:00:00,Geelong South,-38.17356,144.3703,24.082,PM10,ug/m3
2023-01-07 20:00:00,Mooroolbark,-37.7749672,145.3285,16.668,PM10,ug/m3
2023-01-07 20:00:00,Brooklyn,-37.8220978,144.8471,27.294,PM10,ug/m3
2023-01-07 20:00:00,Dandenong,-37.98576,145.1987,22.491,PM10,ug/m3
2023-01-07 20:00:00,Brooklyn,-37.8220978,144.8471,27.294,PM10,ug/m3
2023-01-07 20:00:00,Brooklyn,-37.8220978,144.8471,27.294,PM10,ug/m3
2023-01-07 20:00:00,Geelong South,-38.17356,144.3703,37.454,PM10,ug/m3
2023-01-08 20:00:00,Mooroolbark,-37.7749672,145.3285,18.466,PM10,ug/m3
2023-01-08 20:00:00,Brooklyn,-37.8220978,144.8471,29.545,PM10,ug/m3
2023-01-08 20:00:00,Dandenong,-37.98576,145.1987,32.512,PM10,ug/m3
2023-01-08 20:00:00,Brooklyn,-37.8220978,144.8471,29.545,PM10,ug/m3
2023-01-08 20:00:00,Brooklyn,-37.8220978,144.8471,29.545,PM10,ug/m3
2023-01-08 20:00:00,Geelong South,-38.17356,144.3703,27.462,PM10,ug/m3
2023-01-09 20:00:00,Mooroolbark,-37.7749672,145.3285,24.331,PM10,ug/m3
2023-01-09 20:00:00,Brooklyn,-37.8220978,144.8471,15.952,PM10,ug/m3
2023-01-09 20:00:00,Alphington,-37.7784081,145.0306,22.137,PM10,ug/m3
2023-01-09 20:00:00,Dandenong,-37.98576,145.1987,17.898,PM10,ug/m3
2023-01-09 20:00:00,Brooklyn,-37.8220978,144.8471,15.952,PM10,ug/m3
2023-01-09 20:00:00,Brooklyn,-37.8220978,144.8471,15.952,PM10,ug/m3
2023-01-09 20:00:00,Geelong South,-38.17356,144.3703,24.993,PM10,ug/m3
2023-01-10 20:00:00,Mooroolbark,-37.7749672,145.3285,3.127,PM10,ug/m3
2023-01-10 20:00:00,Brooklyn,-37.8220978,144.8471,27.852,PM10,ug/m3
2023-01-10 20:00:00,Alphington,-37.7784081,145.0306,27.738,PM10,ug/m3
2023-01-10 20:00:00,Dandenong,-37.98576,145.1987,25.453,PM10,ug/m3
2023-01-10 20:00:00,Brooklyn,-37.8220978,144.8471,27.852,PM10,ug/m3
2023-01-10 20:00:00,Brooklyn,-37.8220978,144.8471,27.852,PM10,ug/m3
2023-01-10 20:00:00,Geelong South,-38.17356,144.3703,28.433,PM10,ug/m3
2023-01-11 20:00:00,Mooroolbark,-37.7749672,145.3285,34.326,PM10,ug/m3
2023-01-11 20:00:00,Brooklyn,-37.8220978,144.8471,42.025,PM10,ug/m3
2023-01-11 20:00:00,Alphington,-37.7784081,145.0306,44.133,PM10,ug/m3
2023-01-11 20:00:00,Dandenong,-37.98576,145.1987,31.021,PM10,ug/m3
2023-01-11 20:00:00,Brooklyn,-37.8220978,144.8471,42.025,PM10,ug/m3
2023-01-11 20:00:00,Brooklyn,-37.8220978,144.8471,42.025,PM10,ug/m3
2023-01-11 20:00:00,Geelong South,-38.17356,144.3703,31.811,PM10,ug/m3
2023-01-12 20:00:00,Mooroolbark,-37.7749672,145.3285,27.675,PM10,ug/m3
2023-01-12 20:00:00,Brooklyn,-37.8220978,144.8471,28.499,PM10,ug/m3
2023-01-12 20:00:00,Alphington,-37.7784081,145.0306,35.361,PM10,ug/m3
2023-01-12 20:00:00,Dandenong,-37.98576,145.1987,30.356,PM10,ug/m3
2023-01-12 20:00:00,Brooklyn,-37.8220978,144.8471,28.499,PM10,ug/m3
2023-01-12 20:00:00,Brooklyn,-37.8220978,144.8471,28.499,PM10,ug/m3
2023-01-13 20:00:00,Mooroolbark,-37.7749672,145.3285,22.754,PM10,ug/m3
2023-01-13 20:00:00,Brooklyn,-37.8220978,144.8471,30.347,PM10,ug/m3
2023-01-13 20:00:00,Alphington,-37.7784081,145.0306,27.014,PM10,ug/m3
2023-01-13 20:00:00,Dandenong,-37.98576,145.1987,24.233,PM10,ug/m3
2023-01-13 20:00:00,Brooklyn,-37.8220978,144.8471,30.347,PM10,ug/m3
2023-01-13 20:00:00,Brooklyn,-37.8220978,144.8471,30.347,PM10,ug/m3
2023-01-13 20:00:00,Geelong South,-38.17356,144.3703,29.049,PM10,ug/m3
2023-01-14 20:00:00,Mooroolbark,-37.7749672,145.3285,51.875,PM10,ug/m3
2023-01-14 20:00:00,Brooklyn,-37.8220978,144.8471,75.837,PM10,ug/m3
2023-01-14 20:00:00,Alphington,-37.7784081,145.0306,20.812,PM10,ug/m3
2023-01-14 20:00:00,Dandenong,-37.98576,145.1987,25.714,PM10,ug/m3
