datetime_local,location_name,latitude,longitude,value,parameter_name,unit_of_measure
2023-01-01 00:00:00,Footscray,-37.803709,144.869342,18.986,DBT,deg.C
2023-01-01 00:00:00,Footscray,-37.803709,144.869342,15.329,O3,ppb
2023-01-01 00:00:00,Footscray,-37.803709,144.869342,13.293,PM10,ug/m3
2023-01-01 00:00:00,Footscray,-37.803709,144.869342,0.018,SO2,ppb
2023-01-01 00:00:00,Footscray,-37.803709,144.869342,5.754,NO2,ppb
2023-01-01 01:00:00,Footscray,-37.803709,144.869342,18.433,DBT,deg.C
2023-01-01 01:00:00,Footscray,-37.803709,144.869342,11.292,PM10,ug/m3
2023-01-01 02:00:00,Footscray,-37.803709,144.869342,18.194,DBT,deg.C
2023-01-01 02:00:00,Footscray,-37.803709,144.869342,17.806,O3,ppb
2023-01-01 02:00:00,Footscray,-37.803709,144.869342,11.553,PM10,ug/m3
2023-01-01 02:00:00,Footscray,-37.803709,144.869342,0.08,SO2,ppb
2023-01-01 02:00:00,Footscray,-37.803709,144.869342,3.299,NO2,ppb
2023-01-01 03:00:00,Footscray,-37.803709,144.869342,18.157,DBT,deg.C
2023-01-01 03:00:00,Footscray,-37.803709,144.869342,14.236,O3,ppb
2023-01-01 03:00:00,Footscray,-37.803709,144.869342,59.988,PM10,ug/m3
2023-01-01 03:00:00,Footscray,-37.803709,144.869342,0.203,SO2,ppb
2023-01-01 03:00:00,Footscray,-37.803709,144.869342,6.061,NO2,ppb
2023-01-01 04:00:00,Footscray,-37.803709,144.869342,18.168,DBT,deg.C
2023-01-01 04:00:00,Footscray,-37.803709,144.869342,12.034,O3,ppb
2023-01-01 04:00:00,Footscray,-37.803709,144.869342,13.201,PM10,ug/m3
2023-01-01 04:00:00,Footscray,-37.803709,144.869342,0.567,SO2,ppb
2023-01-01 04:00:00,Footscray,-37.803709,144.869342,7.472,NO2,ppb
2023-01-01 05:00:00,Footscray,-37.803709,144.869342,18.03,DBT,deg.C
2023-01-01 05:00:00,Footscray,-37.803709,144.869342,8.601,O3,ppb
2023-01-01 05:00:00,Footscray,-37.803709,144.869342,12.901,PM10,ug/m3
2023-01-01 05:00:00,Footscray,-37.803709,144.869342,0.376,SO2,ppb
2023-01-01 05:00:00,Footscray,-37.803709,144.869342,7.103,NO2,ppb
2023-01-01 06:00:00,Footscray,-37.803709,144.869342,18.669,DBT,deg.C
2023-01-01 06:00:00,Footscray,-37.803709,144.869342,7.402,O3,ppb
2023-01-01 06:00:00,Footscray,-37.803709,144.869342,23.147,PM10,ug/m3
2023-01-01 06:00:00,Footscray,-37.803709,144.869342,0.237,SO2,ppb
2023-01-01 06:00:00,Footscray,-37.803709,144.869342,8.838,NO2,ppb
2023-01-01 07:00:00,Footscray,-37.803709,144.869342,21.377,DBT,deg.C
2023-01-01 07:00:00,Footscray,-37.803709,144.869342,11.152,O3,ppb
2023-01-01 07:00:00,Footscray,-37.803709,144.869342,18.05,PM10,ug/m3
2023-01-01 07:00:00,Footscray,-37.803709,144.869342,0.149,SO2,ppb
2023-01-01 07:00:00,Footscray,-37.803709,144.869342,8.964,NO2,ppb
2023-01-01 08:00:00,Footscray,-37.803709,144.869342,24.679,DBT,deg.C
2023-01-01 08:00:00,Footscray,-37.803709,144.869342,20.011,O3,ppb
2023-01-01 08:00:00,Footscray,-37.803709,144.869342,17.112,PM10,ug/m3
2023-01-01 08:00:00,Footscray,-37.803709,144.869342,0.344,SO2,ppb
2023-01-01 08:00:00,Footscray,-37.803709,144.869342,6.202,NO2,ppb
2023-01-01 09:00:00,Footscray,-37.803709,144.869342,28.295,DBT,deg.C
2023-01-01 09:00:00,Footscray,-37.803709,144.869342,27.008,O3,ppb
2023-01-01 09:00:00,Footscray,-37.803709,144.869342,6.446,PM10,ug/m3
2023-01-01 09:00:00,Footscray,-37.803709,144.869342,0.218,SO2,ppb
2023-01-01 09:00:00,Footscray,-37.803709,144.869342,2.253,NO2,ppb
2023-01-01 10:00:00,Footscray,-37.803709,144.869342,30.097,DBT,deg.C
2023-01-01 10:00:00,Footscray,-37.803709,144.869342,31.038,O3,ppb
2023-01-01 10:00:00,Footscray,-37.803709,144.869342,15.847,PM10,ug/m3
2023-01-01 10:00:00,Footscray,-37.803709,144.869342,0.241,SO2,ppb
2023-01-01 10:00:00,Footscray,-37.803709,144.869342,1.841,NO2,ppb
2023-01-01 11:00:00,Footscray,-37.803709,144.869342,32.017,DBT,deg.C
2023-01-01 11:00:00,Footscray,-37.803709,144.869342,36.663,O3,ppb
2023-01-01 11:00:00,Footscray,-37.803709,144.869342,16.578,PM10,ug/m3
2023-01-01 11:00:00,Footscray,-37.803709,144.869342,0.185,SO2,ppb
2023-01-01 11:00:00,Footscray,-37.803709,144.869342,1.894,NO2,ppb
2023-01-01 12:00:00,Footscray,-37.803709,144.869342,33.601,DBT,deg.C
2023-01-01 12:00:00,Footscray,-37.803709,144.869342,41.213,O3,ppb
2023-01-01 12:00:00,Footscray,-37.803709,144.869342,3.789,PM10,ug/m3
2023-01-01 12:00:00,Footscray,-37.803709,144.869342,0.196,SO2,ppb
2023-01-01 12:00:00,Footscray,-37.803709,144.869342,2.352,NO2,ppb
2023-01-01 13:00:00,Footscray,-37.803709,144.869342,34.601,DBT,deg.C
2023-01-01 13:00:00,Footscray,-37.803709,144.869342,40.767,O3,ppb
2023-01-01 13:00:00,Footscray,-37.803709,144.869342,5.086,PM10,ug/m3
2023-01-01 13:00:00,Footscray,-37.803709,144.869342,0.155,SO2,ppb
2023-01-01 13:00:00,Footscray,-37.803709,144.869342,1.861,NO2,ppb
2023-01-01 14:00:00,Footscray,-37.803709,144.869342,34.813,DBT,deg.C
2023-01-01 14:00:00,Footscray,-37.803709,144.869342,40.082,O3,ppb
2023-01-01 14:00:00,Footscray,-37.803709,144.869342,6.118,PM10,ug/m3
2023-01-01 14:00:00,Footscray,-37.803709,144.869342,0.107,SO2,ppb
2023-01-01 14:00:00,Footscray,-37.803709,144.869342,2.289,NO2,ppb
2023-01-01 15:00:00,Footscray,-37.803709,144.869342,35.591,DBT,deg.C
2023-01-01 15:00:00,Footscray,-37.803709,144.869342,36.923,O3,ppb
2023-01-01 15:00:00,Footscray,-37.803709,144.869342,11.904,PM10,ug/m3
2023-01-01 15:00:00,Footscray,-37.803709,144.869342,0.223,SO2,ppb
2023-01-01 15:00:00,Footscray,-37.803709,144.869342,3.663,NO2,ppb
2023-01-01 16:00:00,Footscray,-37.803709,144.869342,35.739,DBT,deg.C
2023-01-01 16:00:00,Footscray,-37.803709,144.869342,40.038,O3,ppb
2023-01-01 16:00:00,Footscray,-37.803709,144.869342,9.77,PM10,ug/m3
2023-01-01 16:00:00,Footscray,-37.803709,144.869342,0.011,SO2,ppb
2023-01-01 16:00:00,Footscray,-37.803709,144.869342,1.763,NO2,ppb
2023-01-01 17:00:00,Footscray,-37.803709,144.869342,36.244,DBT,deg.C
2023-01-01 17:00:00,Footscray,-37.803709,144.869342,43.216,O3,ppb
2023-01-01 17:00:00,Footscray,-37.803709,144.869342,13.215,PM10,ug/m3
2023-01-01 17:00:00,Footscray,-37.803709,144.869342,0.096,SO2,ppb
2023-01-01 17:00:00,Footscray,-37.803709,144.869342,1.468,NO2,ppb
2023-01-01 18:00:00,Footscray,-37.803709,144.869342,36.214,DBT,deg.C
2023-01-01 18:00:00,Footscray,-37.803709,144.869342,44.241,O3,ppb
2023-01-01 18:00:00,Footscray,-37.803709,144.869342,15.506,PM10,ug/m3
2023-01-01 18:00:00,Footscray,-37.803709,144.869342,0.055,SO2,ppb
2023-01-01 18:00:00,Footscray,-37.803709,144.869342,1.969,NO2,ppb
2023-01-01 19:00:00,Footscray,-37.803709,144.869342,35.478,DBT,deg.C
2023-01-01 19:00:00,Footscray,-37.803709,144.869342,43.907,O3,ppb
2023-01-01 19:00:00,Footscray,-37.803709,144.869342,19.387,PM10,ug/m3
2023-01-01 19:00:00,Footscray,-37.803709,144.869342,0.254,SO2,ppb
2023-01-01 19:00:00,Footscray,-37.803709,144.869342,2.541,NO2,ppb
2023-01-01 20:00:00,Footscray,-37.803709,144.869342,34.131,DBT,deg.C
2023-01-01 20:00:00,Footscray,-37.803709,144.869342,40.346,O3,ppb
2023-01-01 20:00:00,Footscray,-37.803709,144.869342,22.358,PM10,ug/m3
2023-01-01 20:00:00,Footscray,-37.803709,144.869342,0.318,SO2,ppb
2023-01-01 20:00:00,Footscray,-37.803709,144.869342,3.419,NO2,ppb
2023-01-01 21:00:00,Footscray,-37.803709,144.869342,32.659,DBT,deg.C
2023-01-01 21:00:00,Footscray,-37.803709,144.869342,31.86,O3,ppb
2023-01-01 21:00:00,Footscray,-37.803709,144.869342,22.912,PM10,ug/m3
2023-01-01 21:00:00,Footscray,-37.803709,144.869342,0.194,SO2,ppb
2023-01-01 21:00:00,Footscray,-37.803709,144.869342,7.954,NO2,ppb
2023-01-01 22:00:00,Footscray,-37.803709,144.869342,31.452,DBT,deg.C
2023-01-01 22:00:00,Footscray,-37.803709,144.869342,31.769,O3,ppb
2023-01-01 22:00:00,Footscray,-37.803709,144.869342,23.436,PM10,ug/m3
2023-01-01 22:00:00,Footscray,-37.803709,144.869342,0.25,SO2,ppb
2023-01-01 22:00:00,Footscray,-37.803709,144.869342,6.381,NO2,ppb
2023-01-01 23:00:00,Footscray,-37.803709,144.869342,30.31,DBT,deg.C
2023-01-01 23:00:00,Footscray,-37.803709,144.869342,31.987,O3,ppb
2023-01-01 23:00:00,Footscray,-37.803709,144.869342,20.625,PM10,ug/m3
2023-01-01 23:00:00,Footscray,-37.803709,144.869342,0.184,SO2,ppb
2023-01-01 23:00:00,Footscray,-37.803709,144.869342,5.002,NO2,ppb
2023-01-02 00:00:00,Footscray,-37.803709,144.869342,26.466,DBT,deg.C
2023-01-02 00:00:00,Footscray,-37.803709,144.869342,34.375,O3,ppb
2023-01-02 00:00:00,Footscray,-37.803709,144.869342,97.855,PM10,ug/m3
2023-01-02 00:00:00,Footscray,-37.803709,144.869342,-0.078,SO2,ppb
2023-01-02 00:00:00,Footscray,-37.803709,144.869342,3.314,NO2,ppb
2023-01-02 01:00:00,Footscray,-37.803709,144.869342,25.269,DBT,deg.C
2023-01-02 01:00:00,Footscray,-37.803709,144.869342,1.897,PM10,ug/m3
2023-01-02 02:00:00,Footscray,-37.803709,144.869342,24.873,DBT,deg.C
2023-01-02 02:00:00,Footscray,-37.803709,144.869342,30.307,O3,ppb
2023-01-02 02:00:00,Footscray,-37.803709,144.869342,2.327,PM10,ug/m3
2023-01-02 02:00:00,Footscray,-37.803709,144.869342,-0.121,SO2,ppb
2023-01-02 02:00:00,Footscray,-37.803709,144.869342,3.601,NO2,ppb
2023-01-02 03:00:00,Footscray,-37.803709,144.869342,25.042,DBT,deg.C
2023-01-02 03:00:00,Footscray,-37.803709,144.869342,28.757,O3,ppb
2023-01-02 03:00:00,Footscray,-37.803709,144.869342,13.241,PM10,ug/m3
2023-01-02 03:00:00,Footscray,-37.803709,144.869342,-0.265,SO2,ppb
2023-01-02 03:00:00,Footscray,-37.803709,144.869342,3.617,NO2,ppb
