datetime_local,location_name,latitude,longitude,value,parameter_name,unit_of_measure
2023-01-01 00:00:00,Geelong South,-38.17356,144.3703,34.409,BSP,1/Mm
2023-01-01 00:00:00,Geelong South,-38.17356,144.3703,18.174,DBT,deg.C
2023-01-01 00:00:00,Geelong South,-38.17356,144.3703,6.532,PM2.5,ug/m3
2023-01-01 00:00:00,Geelong South,-38.17356,144.3703,23.872,O3,ppb
2023-01-01 00:00:00,Geelong South,-38.17356,144.3703,1.709,NO2,ppb
2023-01-01 00:00:00,Geelong South,-38.17356,144.3703,12.11,PM10,ug/m3
2023-01-01 01:00:00,Geelong South,-38.17356,144.3703,17.938,DBT,deg.C
2023-01-01 01:00:00,Geelong South,-38.17356,144.3703,6.458,PM2.5,ug/m3
2023-01-01 01:00:00,Geelong South,-38.17356,144.3703,12.218,PM10,ug/m3
2023-01-01 02:00:00,Geelong South,-38.17356,144.3703,30.497,BSP,1/Mm
2023-01-01 02:00:00,Geelong South,-38.17356,144.3703,17.628,DBT,deg.C
2023-01-01 02:00:00,Geelong South,-38.17356,144.3703,9.611,PM2.5,ug/m3
2023-01-01 02:00:00,Geelong South,-38.17356,144.3703,20.035,O3,ppb
2023-01-01 02:00:00,Geelong South,-38.17356,144.3703,1.357,NO2,ppb
2023-01-01 02:00:00,Geelong South,-38.17356,144.3703,10.548,PM10,ug/m3
2023-01-01 03:00:00,Geelong South,-38.17356,144.3703,43.38,BSP,1/Mm
2023-01-01 03:00:00,Geelong South,-38.17356,144.3703,17.595,DBT,deg.C
2023-01-01 03:00:00,Geelong South,-38.17356,144.3703,8.044,PM2.5,ug/m3
2023-01-01 03:00:00,Geelong South,-38.17356,144.3703,21.386,O3,ppb
2023-01-01 03:00:00,Geelong South,-38.17356,144.3703,1.48,NO2,ppb
2023-01-01 03:00:00,Geelong South,-38.17356,144.3703,15.513,PM10,ug/m3
2023-01-01 04:00:00,Geelong South,-38.17356,144.3703,53.458,BSP,1/Mm
2023-01-01 04:00:00,Geelong South,-38.17356,144.3703,17.77,DBT,deg.C
2023-01-01 04:00:00,Geelong South,-38.17356,144.3703,10.155,PM2.5,ug/m3
2023-01-01 04:00:00,Geelong South,-38.17356,144.3703,19.204,O3,ppb
2023-01-01 04:00:00,Geelong South,-38.17356,144.3703,1.482,NO2,ppb
2023-01-01 04:00:00,Geelong South,-38.17356,144.3703,18.401,PM10,ug/m3
2023-01-01 05:00:00,Geelong South,-38.17356,144.3703,51.127,BSP,1/Mm
2023-01-01 05:00:00,Geelong South,-38.17356,144.3703,17.798,DBT,deg.C
2023-01-01 05:00:00,Geelong South,-38.17356,144.3703,9.117,PM2.5,ug/m3
2023-01-01 05:00:00,Geelong South,-38.17356,144.3703,17.312,O3,ppb
2023-01-01 05:00:00,Geelong South,-38.17356,144.3703,1.669,NO2,ppb
2023-01-01 05:00:00,Geelong South,-38.17356,144.3703,14.228,PM10,ug/m3
2023-01-01 06:00:00,Geelong South,-38.17356,144.3703,50.341,BSP,1/Mm
2023-01-01 06:00:00,Geelong South,-38.17356,144.3703,17.902,DBT,deg.C
2023-01-01 06:00:00,Geelong South,-38.17356,144.3703,10.845,PM2.5,ug/m3
2023-01-01 06:00:00,Geelong South,-38.17356,144.3703,15.868,O3,ppb
2023-01-01 06:00:00,Geelong South,-38.17356,144.3703,1.84,NO2,ppb
2023-01-01 06:00:00,Geelong South,-38.17356,144.3703,13.348,PM10,ug/m3
2023-01-01 07:00:00,Geelong South,-38.17356,144.3703,55.169,BSP,1/Mm
2023-01-01 07:00:00,Geelong South,-38.17356,144.3703,18.316,DBT,deg.C
2023-01-01 07:00:00,Geelong South,-38.17356,144.3703,4.345,PM2.5,ug/m3
2023-01-01 07:00:00,Geelong South,-38.17356,144.3703,15.002,O3,ppb
2023-01-01 07:00:00,Geelong South,-38.17356,144.3703,2.153,NO2,ppb
2023-01-01 07:00:00,Geelong South,-38.17356,144.3703,17.268,PM10,ug/m3
