datetime_local,location_name,latitude,longitude,value,parameter_name,unit_of_measure
2023-01-19 10:00:00,Melton,-37.7064552,144.5669,0,O3,ppb
2023-01-19 11:00:00,Melton,-37.7064552,144.5669,0,O3,ppb
2023-01-19 12:00:00,Melton,-37.7064552,144.5669,0,O3,ppb
2023-01-19 13:00:00,Melton,-37.7064552,144.5669,2.653,O3,ppb
2023-01-19 14:00:00,Melton,-37.7064552,144.5669,16.432,O3,ppb
2023-01-19 15:00:00,Melton,-37.7064552,144.5669,16.07,O3,ppb
2023-01-19 16:00:00,Melton,-37.7064552,144.5669,15.852,O3,ppb
2023-01-19 17:00:00,Melton,-37.7064552,144.5669,15.689,O3,ppb
2023-01-19 18:00:00,Melton,-37.7064552,144.5669,15.733,O3,ppb
2023-01-19 19:00:00,Melton,-37.7064552,144.5669,15.079,O3,ppb
2023-01-19 20:00:00,Melton,-37.7064552,144.5669,14.813,O3,ppb
2023-01-19 21:00:00,Melton,-37.7064552,144.5669,13.86,O3,ppb
2023-01-19 22:00:00,Melton,-37.7064552,144.5669,13.171,O3,ppb
2023-01-19 23:00:00,Melton,-37.7064552,144.5669,12.922,O3,ppb
2023-01-20 00:00:00,Melton,-37.7064552,144.5669,13.123,O3,ppb
2023-01-20 02:00:00,Melton,-37.7064552,144.5669,12.165,O3,ppb
2023-01-20 03:00:00,Melton,-37.7064552,144.5669,13.08,O3,ppb
2023-01-20 04:00:00,Melton,-37.7064552,144.5669,12.558,O3,ppb
2023-01-20 05:00:00,Melton,-37.7064552,144.5669,11.346,O3,ppb
2023-01-20 06:00:00,Melton,-37.7064552,144.5669,9.403,O3,ppb
2023-01-20 07:00:00,Melton,-37.7064552,144.5669,9.225,O3,ppb
2023-01-20 08:00:00,Melton,-37.7064552,144.5669,9.879,O3,ppb
2023-01-20 09:00:00,Melton,-37.7064552,144.5669,6.908,O3,ppb
2023-01-20 10:00:00,Melton,-37.7064552,144.5669,11.278,O3,ppb
2023-01-20 11:00:00,Melton,-37.7064552,144.5669,13.741,O3,ppb
