datetime_local,location_name,latitude,longitude,value,parameter_name,unit_of_measure
2023-01-01 00:00:00,Mooroolbark,-37.7749672,145.3285,10,PM10,ug/m3
2023-01-01 00:00:00,Mooroolbark,-37.7749672,145.3285,33.646,BSP,1/Mm
2023-01-01 00:00:00,Mooroolbark,-37.7749672,145.3285,20.553,DBT,deg.C
2023-01-01 00:00:00,Mooroolbark,-37.7749672,145.3285,16.51,O3,ppb
2023-01-01 01:00:00,Mooroolbark,-37.7749672,145.3285,8.033,PM10,ug/m3
2023-01-01 01:00:00,Mooroolbark,-37.7749672,145.3285,19.785,DBT,deg.C
2023-01-01 02:00:00,Mooroolbark,-37.7749672,145.3285,14.352,PM10,ug/m3
2023-01-01 02:00:00,Mooroolbark,-37.7749672,145.3285,29.625,BSP,1/Mm
2023-01-01 02:00:00,Mooroolbark,-37.7749672,145.3285,18.397,DBT,deg.C
2023-01-01 02:00:00,Mooroolbark,-37.7749672,145.3285,7.826,O3,ppb
2023-01-01 03:00:00,Mooroolbark,-37.7749672,145.3285,12.197,PM10,ug/m3
2023-01-01 03:00:00,Mooroolbark,-37.7749672,145.3285,30.808,BSP,1/Mm
2023-01-01 03:00:00,Mooroolbark,-37.7749672,145.3285,17.509,DBT,deg.C
2023-01-01 03:00:00,Mooroolbark,-37.7749672,145.3285,5.951,O3,ppb
2023-01-01 04:00:00,Mooroolbark,-37.7749672,145.3285,11.611,PM10,ug/m3
2023-01-01 04:00:00,Mooroolbark,-37.7749672,145.3285,33.055,BSP,1/Mm
2023-01-01 04:00:00,Mooroolbark,-37.7749672,145.3285,17.496,DBT,deg.C
2023-01-01 04:00:00,Mooroolbark,-37.7749672,145.3285,6.801,O3,ppb
2023-01-01 05:00:00,Mooroolbark,-37.7749672,145.3285,9.968,PM10,ug/m3
2023-01-01 05:00:00,Mooroolbark,-37.7749672,145.3285,28.886,BSP,1/Mm
2023-01-01 05:00:00,Mooroolbark,-37.7749672,145.3285,18.147,DBT,deg.C
2023-01-01 05:00:00,Mooroolbark,-37.7749672,145.3285,9.737,O3,ppb
2023-01-01 06:00:00,Mooroolbark,-37.7749672,145.3285,15.4,PM10,ug/m3
2023-01-01 06:00:00,Mooroolbark,-37.7749672,145.3285,28.663,BSP,1/Mm
2023-01-01 06:00:00,Mooroolbark,-37.7749672,145.3285,18.598,DBT,deg.C
2023-01-01 06:00:00,Mooroolbark,-37.7749672,145.3285,9.864,O3,ppb
2023-01-01 07:00:00,Mooroolbark,-37.7749672,145.3285,15.636,PM10,ug/m3
2023-01-01 07:00:00,Mooroolbark,-37.7749672,145.3285,28.142,BSP,1/Mm
2023-01-01 07:00:00,Mooroolbark,-37.7749672,145.3285,20.721,DBT,deg.C
2023-01-01 07:00:00,Mooroolbark,-37.7749672,145.3285,12.102,O3,ppb
2023-01-01 08:00:00,Mooroolbark,-37.7749672,145.3285,12.859,PM10,ug/m3
2023-01-01 08:00:00,Mooroolbark,-37.7749672,145.3285,27.014,BSP,1/Mm
2023-01-01 08:00:00,Mooroolbark,-37.7749672,145.3285,24.522,DBT,deg.C
2023-01-01 08:00:00,Mooroolbark,-37.7749672,145.3285,19.35,O3,ppb
2023-01-01 09:00:00,Mooroolbark,-37.7749672,145.3285,15.371,PM10,ug/m3
2023-01-01 09:00:00,Mooroolbark,-37.7749672,145.3285,27.502,BSP,1/Mm
2023-01-01 09:00:00,Mooroolbark,-37.7749672,145.3285,27.735,DBT,deg.C
2023-01-01 09:00:00,Mooroolbark,-37.7749672,145.3285,24.919,O3,ppb
2023-01-01 10:00:00,Mooroolbark,-37.7749672,145.3285,13.6,PM10,ug/m3
2023-01-01 10:00:00,Mooroolbark,-37.7749672,145.3285,29.328,BSP,1/Mm
2023-01-01 10:00:00,Mooroolbark,-37.7749672,145.3285,29.698,DBT,deg.C
2023-01-01 10:00:00,Mooroolbark,-37.7749672,145.3285,27.754,O3,ppb
2023-01-01 11:00:00,Mooroolbark,-37.7749672,145.3285,15.441,PM10,ug/m3
2023-01-01 11:00:00,Mooroolbark,-37.7749672,145.3285,29.068,BSP,1/Mm
2023-01-01 11:00:00,Mooroolbark,-37.7749672,145.3285,31.374,DBT,deg.C
2023-01-01 11:00:00,Mooroolbark,-37.7749672,145.3285,31.084,O3,ppb
2023-01-01 12:00:00,Mooroolbark,-37.7749672,145.3285,13.939,PM10,ug/m3
2023-01-01 12:00:00,Mooroolbark,-37.7749672,145.3285,29.087,BSP,1/Mm
2023-01-01 12:00:00,Mooroolbark,-37.7749672,145.3285,32.738,DBT,deg.C
2023-01-01 12:00:00,Mooroolbark,-37.7749672,145.3285,33.816,O3,ppb
2023-01-01 13:00:00,Mooroolbark,-37.7749672,145.3285,11.915,PM10,ug/m3
2023-01-01 13:00:00,Mooroolbark,-37.7749672,145.3285,28.207,BSP,1/Mm
2023-01-01 13:00:00,Mooroolbark,-37.7749672,145.3285,33.446,DBT,deg.C
2023-01-01 13:00:00,Mooroolbark,-37.7749672,145.3285,35.932,O3,ppb
2023-01-01 14:00:00,Mooroolbark,-37.7749672,145.3285,1.258,PM10,ug/m3
2023-01-01 14:00:00,Mooroolbark,-37.7749672,145.3285,26.446,BSP,1/Mm
2023-01-01 14:00:00,Mooroolbark,-37.7749672,145.3285,34.334,DBT,deg.C
2023-01-01 14:00:00,Mooroolbark,-37.7749672,145.3285,36.61,O3,ppb
2023-01-01 15:00:00,Mooroolbark,-37.7749672,145.3285,6.183,PM10,ug/m3
2023-01-01 15:00:00,Mooroolbark,-37.7749672,145.3285,23.432,BSP,1/Mm
2023-01-01 15:00:00,Mooroolbark,-37.7749672,145.3285,34.257,DBT,deg.C
