time,location,latitude,longitude,value,param,unit
2022-01-05 6:00:00,Morwell East,-38.229393,146.42445,4.873,PM2.5,ug/m3
2022-01-05 6:00:00,Geelong South,-38.17356,144.3703,4.276,PM2.5,ug/m3
2022-01-05 6:00:00,Campbellfield,-37.679276,144.96572,3.32,PM2.5,ug/m3
2022-01-05 6:00:00,Box Hill,-37.8287277,145.1324,0.212,PM2.5,ug/m3
2022-01-05 6:00:00,Melbourne CBD,-37.8073959,144.97,5.363,PM2.5,ug/m3
2022-01-05 6:00:00,Footscray,-37.803709,144.86934,3.672,PM2.5,ug/m3
2022-01-05 6:00:00,Alphington,-37.7784081,145.0306,2.509,PM2.5,ug/m3
2022-01-05 6:00:00,Newborough,-38.18772,146.2927,8.4,PM2.5,ug/m3
2022-01-05 6:00:00,Melton,-37.7064552,144.5669,2.973,PM2.5,ug/m3
2022-01-05 6:00:00,Morwell South,-38.2392921,146.3873,3.653,PM2.5,ug/m3
2022-01-05 6:00:00,Churchill,-38.3043137,146.41493,4.022,PM2.5,ug/m3
2022-01-05 6:00:00,Brighton,-37.9135475,144.998,3.781,PM2.5,ug/m3
2022-01-05 6:00:00,Traralgon,-38.1942825,146.53146,5.056,PM2.5,ug/m3
2022-01-05 7:00:00,Morwell East,-38.229393,146.42445,3.399,PM2.5,ug/m3
2022-01-05 7:00:00,Geelong South,-38.17356,144.3703,4.062,PM2.5,ug/m3
2022-01-05 7:00:00,Campbellfield,-37.679276,144.96572,4.399,PM2.5,ug/m3
2022-01-05 7:00:00,Box Hill,-37.8287277,145.1324,-0.327,PM2.5,ug/m3
2022-01-05 7:00:00,Melbourne CBD,-37.8073959,144.97,6.328,PM2.5,ug/m3
2022-01-05 7:00:00,Footscray,-37.803709,144.86934,3.274,PM2.5,ug/m3
2022-01-05 7:00:00,Alphington,-37.7784081,145.0306,0.652,PM2.5,ug/m3
2022-01-05 7:00:00,Newborough,-38.18772,146.2927,6.167,PM2.5,ug/m3
2022-01-05 7:00:00,Melton,-37.7064552,144.5669,7.704,PM2.5,ug/m3
2022-01-05 7:00:00,Morwell South,-38.2392921,146.3873,4.583,PM2.5,ug/m3
2022-01-05 7:00:00,Churchill,-38.3043137,146.41493,4.511,PM2.5,ug/m3
2022-01-05 7:00:00,Brighton,-37.9135475,144.998,1.545,PM2.5,ug/m3
2022-01-05 7:00:00,Traralgon,-38.1942825,146.53146,4.957,PM2.5,ug/m3
2022-01-05 8:00:00,Morwell East,-38.229393,146.42445,1.338,PM2.5,ug/m3
